project_id,project_name,versions_count,executions_count,failed_executions,vulnerabilities_count,audit_status
1,Activiti,1343,67150,0,9722,OK_OU_PRECISA_VALIDAR
16,AsciidocFX,1,0,0,0,SEM_EXECUCAO
19,AxonFramework,1,0,0,0,SEM_EXECUCAO
60,BIMserver,1,0,0,0,SEM_EXECUCAO
22,BroadleafCommerce,1,0,0,0,SEM_EXECUCAO
70,BungeeCord,1,0,0,0,SEM_EXECUCAO
59,Chronicle-Queue,1,0,0,0,SEM_EXECUCAO
74,CoreNLP,1,0,0,0,SEM_EXECUCAO
44,DependencyCheck,1,0,0,0,SEM_EXECUCAO
21,HikariCP,1,0,0,0,SEM_EXECUCAO
47,JSqlParser,1,0,0,0,SEM_EXECUCAO
54,OpenID-Connect-Java-Spring-Server,1,0,0,0,SEM_EXECUCAO
61,OpenTripPlanner,1,0,0,0,SEM_EXECUCAO
80,Saturn,1,0,0,0,SEM_EXECUCAO
36,TwelveMonkeys,1,0,0,0,SEM_EXECUCAO
78,UniversalMediaServer,1,0,0,0,SEM_EXECUCAO
13,activemq,1,0,0,0,SEM_EXECUCAO
4,alluxio,803,40100,0,6,OK_OU_PRECISA_VALIDAR
18,aws-sdk-java,1,0,0,0,SEM_EXECUCAO
20,bootique,1,0,0,0,SEM_EXECUCAO
67,byte-buddy,1,0,0,0,SEM_EXECUCAO
15,cas,1,0,0,0,SEM_EXECUCAO
23,checkstyle,1,0,0,0,SEM_EXECUCAO
17,commafeed,1,0,0,0,SEM_EXECUCAO
25,cucumber-jvm,1,0,0,0,SEM_EXECUCAO
26,dbeaver,1,0,0,0,SEM_EXECUCAO
29,docker-maven-plugin,1,0,0,0,SEM_EXECUCAO
8,drill,990,46650,0,1692,OK_OU_PRECISA_VALIDAR
27,ebean,1,0,0,0,SEM_EXECUCAO
34,error-prone,1,0,0,0,SEM_EXECUCAO
3,fastjson,306,15250,0,106,OK_OU_PRECISA_VALIDAR
81,flexmark-java,1,0,0,0,SEM_EXECUCAO
31,flyway,1,0,0,0,SEM_EXECUCAO
32,geotools,1,0,0,0,SEM_EXECUCAO
43,gitlab-plugin,1,0,0,0,SEM_EXECUCAO
35,graphhopper,1,0,0,0,SEM_EXECUCAO
33,guice,1,0,0,0,SEM_EXECUCAO
41,heritrix3,1,0,0,0,SEM_EXECUCAO
39,immutables,1,0,0,0,SEM_EXECUCAO
9,iotdb,10,450,0,0,EXECUTADO_SEM_VULNERABILIDADE
30,jackson-databind,1,0,0,0,SEM_EXECUCAO
42,janusgraph,1,0,0,0,SEM_EXECUCAO
38,java-design-patterns,1,0,0,0,SEM_EXECUCAO
49,jbpm,1,0,0,0,SEM_EXECUCAO
45,joda-time,1,0,0,0,SEM_EXECUCAO
46,jooby,1,0,0,0,SEM_EXECUCAO
50,killbill,1,0,0,0,SEM_EXECUCAO
24,ksql,1,0,0,0,SEM_EXECUCAO
57,light-4j,1,0,0,0,SEM_EXECUCAO
51,liquibase,1,0,0,0,SEM_EXECUCAO
66,logback,1,0,0,0,SEM_EXECUCAO
52,mage,1,0,0,0,SEM_EXECUCAO
53,manifold,1,0,0,0,SEM_EXECUCAO
83,maxwell,1,0,0,0,SEM_EXECUCAO
79,modeldb,1,0,0,0,SEM_EXECUCAO
55,moquette,1,0,0,0,SEM_EXECUCAO
56,morphia,1,0,0,0,SEM_EXECUCAO
2,nacos,348,17350,0,3755,OK_OU_PRECISA_VALIDAR
11,nifi,1,0,0,0,SEM_EXECUCAO
58,nutz,1,0,0,0,SEM_EXECUCAO
37,pitest,1,0,0,0,SEM_EXECUCAO
63,presto,1,0,0,0,SEM_EXECUCAO
64,primefaces,1,0,0,0,SEM_EXECUCAO
65,psi-probe,1,0,0,0,SEM_EXECUCAO
68,redisson,1,0,0,0,SEM_EXECUCAO
5,rocketmq,267,13300,0,0,EXECUTADO_SEM_VULNERABILIDADE
69,runelite,1,0,0,0,SEM_EXECUCAO
7,shardingsphere-elasticjob,374,18650,0,1553,OK_OU_PRECISA_VALIDAR
6,shiro,1160,57950,0,4300,OK_OU_PRECISA_VALIDAR
10,skywalking,1,0,0,0,SEM_EXECUCAO
40,spoon,1,0,0,0,SEM_EXECUCAO
72,spring-batch,1,0,0,0,SEM_EXECUCAO
71,spring-data-redis,1,0,0,0,SEM_EXECUCAO
73,springdoc-openapi,1,0,0,0,SEM_EXECUCAO
75,strimzi-kafka-operator,1,0,0,0,SEM_EXECUCAO
12,struts,1,0,0,0,SEM_EXECUCAO
48,tablesaw,1,0,0,0,SEM_EXECUCAO
76,thingsboard,1,0,0,0,SEM_EXECUCAO
14,tinkerpop,1,0,0,0,SEM_EXECUCAO
77,undertow,1,0,0,0,SEM_EXECUCAO
28,vert.x,1,0,0,0,SEM_EXECUCAO
82,xxl-job,1,0,0,0,SEM_EXECUCAO
62,zipkin,1,0,0,0,SEM_EXECUCAO
