repo,root_packaging,sub_poms,toy_like,child_of_root,independent_like,classification,examples
spring-projects/spring-batch,pom,7,0,0,0,NOT_CASE3,
spring-projects/spring-boot,maven-plugin,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,2,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,4,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,2,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,war,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,3,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,pom,4,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
spring-projects/spring-boot,jar,0,0,0,0,NOT_CASE3,
AlmasB/FXGL,pom,12,0,0,0,NOT_CASE3,
soot-oss/soot,jar,0,0,0,0,NOT_CASE3,
wildfly/wildfly,pom,246,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
aliyun/aliyun-openapi-java-sdk,jar,0,0,0,0,NOT_CASE3,
