owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,MULTIPROJETOS,False,False,False,67,2472
airbnb,lottie-android,/home/camila/repos/airbnb/lottie-android,MULTIPROJETOS,True,False,False,0,0
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,MULTIPROJETOS,False,False,False,74,665
alibaba,nacos,/home/camila/repos/alibaba/nacos,MULTIPROJETOS,False,False,False,37,521
alibaba,fastjson,/home/camila/repos/alibaba/fastjson,SINGLE_REPO,False,False,False,1,620
aliyun,aliyun-openapi-java-sdk,/home/camila/repos/aliyun/aliyun-openapi-java-sdk,MULTIPROJETOS,False,False,False,347,5538
Alluxio,alluxio,/home/camila/repos/Alluxio/alluxio,MULTIPROJETOS,False,False,False,70,1926
AlmasB,FXGL,/home/camila/repos/AlmasB/FXGL,MULTIPROJETOS,False,False,False,13,435
AntennaPod,AntennaPod,/home/camila/repos/AntennaPod/AntennaPod,MULTIPROJETOS,True,False,False,0,0
antlr,antlr4,/home/camila/repos/antlr/antlr4,MULTIPROJETOS,False,False,False,10,358
AnySoftKeyboard,AnySoftKeyboard,/home/camila/repos/AnySoftKeyboard/AnySoftKeyboard,MULTIPROJETOS,True,False,False,0,0
apache,rocketmq,/home/camila/repos/apache/rocketmq,MULTIPROJETOS,False,False,False,20,420
apache,hudi,/home/camila/repos/apache/hudi,MULTIPROJETOS,False,False,False,81,962
apache,iceberg,/home/camila/repos/apache/iceberg,MULTIPROJETOS,True,False,False,0,0
apache,servicecomb-pack,/home/camila/repos/apache/servicecomb-pack,MULTIPROJETOS,False,False,False,72,390
apache,shiro,/home/camila/repos/apache/shiro,MULTIPROJETOS,False,False,False,62,1563
apache,opennlp,/home/camila/repos/apache/opennlp,MULTIPROJETOS,False,False,False,10,447
apache,zookeeper,/home/camila/repos/apache/zookeeper,MULTIPROJETOS,False,False,False,0,0
apache,avro,/home/camila/repos/apache/avro,MULTIPROJETOS,False,False,False,28,1
apache,shardingsphere-elasticjob,/home/camila/repos/apache/shardingsphere-elasticjob,MULTIPROJETOS,False,False,False,41,270
