owner,name,repo_path,root_gav,module_listed,module_name,module_path,module_pom_exists,child_parent_gav,parent_matches_root,status,reason
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-dependency-check,activiti-dependency-check,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-api,activiti-api,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-core-common,activiti-core-common,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-core,activiti-core,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-dependencies,activiti-dependencies,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,activiti-examples,activiti-examples,True,org.activiti:activiti-parent:8.7.0-SNAPSHOT,True,listed-ok,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,spring-cloud-alibaba-dependencies,spring-cloud-alibaba-dependencies,True,org.springframework.cloud:spring-cloud-dependencies-parent:4.1.0,False,listed-parent-mismatch,parent-ga-mismatch
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,spring-cloud-alibaba-examples,spring-cloud-alibaba-examples,True,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,listed-ok,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,spring-cloud-alibaba-starters,spring-cloud-alibaba-starters,True,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,listed-ok,
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,spring-cloud-alibaba-coverage,spring-cloud-alibaba-coverage,True,com.alibaba.cloud:spring-cloud-alibaba:${revision},True,listed-ok,
