db,vulnerable_releases_pct,propagation_pct,project_exposure_pct,post_resolution_persistence_pct,post_resolution_lifetime_exposure_pct
MySQL,54.807692307692314,80.0,100.0,46.33071241362878,32.06344892267812
Redis,82.10526315789474,100.0,40.0,3.4055727554179565,17.561260210035005
PostgreSQL,34.76190476190476,60.0,100.0,17.79651094719588,10.297482837528605
Snowflake,20.618556701030926,83.33333333333334,100.0,1.4804845222072678,0.3561701236119841
H2,37.857142857142854,60.0,97.36842105263158,74.57818519994686,39.012844011080425
Hazelcast,12.592592592592592,28.57142857142857,90.0,34.77838887091556,3.7584987802589604
SQLite,20.18348623853211,100.0,90.9090909090909,6.269113149847094,7.341936555498571
HyperSQL,80.0,0.0,90.0,2.0911292097732774,1.2191048764195058
MSSQL/MicrosoftAzure,0.0,0.0,50.0,0.6474396703943496,0.4820792286732341
Cassandra,2.0618556701030926,0.0,75.0,0.0,0.0
Ignite,6.8181818181818175,0.0,100.0,52.32558139534884,2.6926877470355732
MongoDB,4.191616766467066,0.0,36.36363636363637,26.595744680851062,6.191335325164785
Couchbase,1.9230769230769231,0.0,100.0,100.0,11.314229249011857
Neo4j,0.19960079840319359,0.0,33.33333333333333,0.0,0.0
HBase,0.411522633744856,0.0,16.666666666666664,100.0,0.01643925694558606
