project,pom_commits
Activiti/Activiti,815
alibaba/nacos,203
alibaba/fastjson,0
Alluxio/alluxio,538
apache/rocketmq,166
apache/shiro,509
apache/shardingsphere-elasticjob,311
apache/drill,711
apache/iotdb,593
apache/skywalking,1040
apache/nifi,2628
apache/struts,953
apache/activemq,1251
apache/tinkerpop,653
apereo/cas,233
asciidocfx/AsciidocFX,0
Athou/commafeed,460
aws/aws-sdk-java,3746
AxonFramework/AxonFramework,634
bootique/bootique,166
brettwooldridge/HikariCP,112
BroadleafCommerce/BroadleafCommerce,667
checkstyle/checkstyle,0
confluentinc/ksql,762
cucumber/cucumber-jvm,895
dbeaver/dbeaver,698
ebean-orm/ebean,664
eclipse-vertx/vert.x,71
fabric8io/docker-maven-plugin,343
FasterXML/jackson-databind,0
flyway/flyway,381
geotools/geotools,908
google/gson,421
google/guice,104
google/error-prone,410
graphhopper/graphhopper,327
haraldk/TwelveMonkeys,197
hcoles/pitest,314
iluwatar/java-design-patterns,456
immutables/immutables,548
INRIA/spoon,609
internetarchive/heritrix3,254
JanusGraph/janusgraph,502
jenkinsci/gitlab-plugin,0
jeremylong/DependencyCheck,618
JodaOrg/joda-time,27
jooby-project/jooby,1724
JSQLParser/JSqlParser,0
jtablesaw/tablesaw,267
kiegroup/jbpm,789
killbill/killbill,724
liquibase/liquibase,807
magefree/mage,373
manifold-systems/manifold,510
mitreid-connect/OpenID-Connect-Java-Spring-Server,142
moquette-io/moquette,148
MorphiaOrg/morphia,646
networknt/light-4j,415
nutzam/nutz,15
OpenHFT/Chronicle-Queue,695
opensourceBIM/BIMserver,667
opentripplanner/OpenTripPlanner,336
openzipkin/zipkin,1091
prestodb/presto,1877
primefaces/primefaces,941
psi-probe/psi-probe,405
qos-ch/logback,520
raphw/byte-buddy,1180
redisson/redisson,979
runelite/runelite,978
SpigotMC/BungeeCord,196
spring-projects/spring-data-redis,0
spring-projects/spring-batch,751
springdoc/springdoc-openapi,468
stanfordnlp/CoreNLP,824
strimzi/strimzi-kafka-operator,551
thingsboard/thingsboard,349
undertow-io/undertow,507
UniversalMediaServer/UniversalMediaServer,0
VertaAI/modeldb,165
vipshop/Saturn,70
vsch/flexmark-java,386
xuxueli/xxl-job,192
zendesk/maxwell,5
