owner,name,repo_path,has_root_pom,root_packaging,root_modules_declared_count,classification,total_poms,deployables_count,excluded_count
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,True,pom,6,MULTI_MODULE,67,54,0
airbnb,lottie-android,/home/camila/repos/airbnb/lottie-android,False,,0,NO_ROOT_POM,0,0,0
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,True,pom,5,MULTI_MODULE,74,64,0
alibaba,nacos,/home/camila/repos/alibaba/nacos,True,pom,21,MULTI_MODULE,37,31,1
alibaba,fastjson,/home/camila/repos/alibaba/fastjson,True,jar,0,SINGLE_MODULE,1,1,0
aliyun,aliyun-openapi-java-sdk,/home/camila/repos/aliyun/aliyun-openapi-java-sdk,False,,0,NO_ROOT_POM,347,347,0
Alluxio,alluxio,/home/camila/repos/Alluxio/alluxio,True,pom,15,MULTI_MODULE,70,54,4
AlmasB,FXGL,/home/camila/repos/AlmasB/FXGL,True,pom,12,MULTI_MODULE,13,12,0
AntennaPod,AntennaPod,/home/camila/repos/AntennaPod/AntennaPod,False,,0,NO_ROOT_POM,0,0,0
antlr,antlr4,/home/camila/repos/antlr/antlr4,True,pom,5,MULTI_MODULE,10,8,0
AnySoftKeyboard,AnySoftKeyboard,/home/camila/repos/AnySoftKeyboard/AnySoftKeyboard,False,,0,NO_ROOT_POM,0,0,0
apache,rocketmq,/home/camila/repos/apache/rocketmq,True,pom,19,MULTI_MODULE,20,18,2
apache,hudi,/home/camila/repos/apache/hudi,True,pom,30,MULTI_MODULE,81,58,0
apache,iceberg,/home/camila/repos/apache/iceberg,False,,0,NO_ROOT_POM,0,0,0
apache,servicecomb-pack,/home/camila/repos/apache/servicecomb-pack,True,pom,8,MULTI_MODULE,72,56,19
apache,shiro,/home/camila/repos/apache/shiro,True,pom,13,MULTI_MODULE,62,48,16
apache,opennlp,/home/camila/repos/apache/opennlp,True,pom,9,MULTI_MODULE,10,7,0
apache,zookeeper,/home/camila/repos/apache/zookeeper,False,,0,NO_ROOT_POM,0,0,0
apache,avro,/home/camila/repos/apache/avro,False,,0,NO_ROOT_POM,28,28,28
apache,shardingsphere-elasticjob,/home/camila/repos/apache/shardingsphere-elasticjob,True,pom,11,MULTI_MODULE,41,28,6
apache,bookkeeper,/home/camila/repos/apache/bookkeeper,False,,0,NO_ROOT_POM,0,0,0
apache,curator,/home/camila/repos/apache/curator,True,pom,12,MULTI_MODULE,13,12,0
apache,netbeans,/home/camila/repos/apache/netbeans,False,,0,NO_ROOT_POM,59,46,0
apache,nutch,/home/camila/repos/apache/nutch,False,,0,NO_ROOT_POM,0,0,0
apache,servicecomb-java-chassis,/home/camila/repos/apache/servicecomb-java-chassis,True,pom,22,MULTI_MODULE,180,127,74
apache,httpcomponents-client,/home/camila/repos/apache/httpcomponents-client,True,pom,4,MULTI_MODULE,5,4,0
apache,calcite,/home/camila/repos/apache/calcite,False,,0,NO_ROOT_POM,0,0,0
apache,dubbo,/home/camila/repos/apache/dubbo,True,pom,18,MULTI_MODULE,130,102,0
apache,drill,/home/camila/repos/apache/drill,True,pom,8,MULTI_MODULE,60,50,2
apache,pulsar,/home/camila/repos/apache/pulsar,True,pom,0,AGGREGATOR_EMPTY,133,110,1
apache,zeppelin,/home/camila/repos/apache/zeppelin,True,pom,39,MULTI_MODULE,74,66,0
apache,iotdb,/home/camila/repos/apache/iotdb,True,pom,7,MULTI_MODULE,48,38,12
apache,skywalking,/home/camila/repos/apache/skywalking,True,pom,1,MULTI_MODULE,98,81,0
apache,tika,/home/camila/repos/apache/tika,True,pom,21,MULTI_MODULE,113,93,0
apache,nifi,/home/camila/repos/apache/nifi,True,pom,20,MULTI_MODULE,813,441,0
apache,commons-lang,/home/camila/repos/apache/commons-lang,True,jar,0,SINGLE_MODULE,1,1,0
apache,gobblin,/home/camila/repos/apache/gobblin,False,,0,NO_ROOT_POM,0,0,0
apache,struts,/home/camila/repos/apache/struts,True,pom,5,MULTI_MODULE,39,33,1
apache,kafka,/home/camila/repos/apache/kafka,False,,0,NO_ROOT_POM,3,1,3
apache,geode,/home/camila/repos/apache/geode,False,,0,NO_ROOT_POM,0,0,0
apache,pdfbox,/home/camila/repos/apache/pdfbox,True,pom,12,MULTI_MODULE,14,12,2
apache,storm,/home/camila/repos/apache/storm,True,pom,14,MULTI_MODULE,61,47,10
apache,activemq,/home/camila/repos/apache/activemq,True,pom,35,MULTI_MODULE,55,48,15
apache,maven,/home/camila/repos/apache/maven,True,pom,25,MULTI_MODULE,343,199,1
apache,poi,/home/camila/repos/apache/poi,False,,0,NO_ROOT_POM,1,1,0
apache,logging-log4j2,/home/camila/repos/apache/logging-log4j2,False,,0,NO_ROOT_POM,0,0,0
apache,hive,/home/camila/repos/apache/hive,False,,0,NO_ROOT_POM,0,0,0
apache,groovy,/home/camila/repos/apache/groovy,False,,0,NO_ROOT_POM,0,0,0
apache,jmeter,/home/camila/repos/apache/jmeter,False,,0,NO_ROOT_POM,0,0,0
apache,tinkerpop,/home/camila/repos/apache/tinkerpop,True,pom,21,MULTI_MODULE,28,24,1
apache,flink,/home/camila/repos/apache/flink,True,pom,42,MULTI_MODULE,182,159,1
apache,tomcat,/home/camila/repos/apache/tomcat,False,,0,NO_ROOT_POM,4,4,0
apache,hadoop,/home/camila/repos/apache/hadoop,True,pom,11,MULTI_MODULE,50,37,0
