owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,True,6,6,0,0,1.000
airbnb,lottie-android,/home/camila/repos/airbnb/lottie-android,False,0,0,0,0,0.000
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,True,5,4,1,0,0.800
alibaba,nacos,/home/camila/repos/alibaba/nacos,True,21,21,0,0,1.000
alibaba,fastjson,/home/camila/repos/alibaba/fastjson,True,0,0,0,0,0.000
aliyun,aliyun-openapi-java-sdk,/home/camila/repos/aliyun/aliyun-openapi-java-sdk,False,0,0,0,0,0.000
Alluxio,alluxio,/home/camila/repos/Alluxio/alluxio,True,15,15,0,0,1.000
AlmasB,FXGL,/home/camila/repos/AlmasB/FXGL,True,12,12,0,0,1.000
AntennaPod,AntennaPod,/home/camila/repos/AntennaPod/AntennaPod,False,0,0,0,0,0.000
antlr,antlr4,/home/camila/repos/antlr/antlr4,True,5,4,1,0,0.800
AnySoftKeyboard,AnySoftKeyboard,/home/camila/repos/AnySoftKeyboard/AnySoftKeyboard,False,0,0,0,0,0.000
apache,rocketmq,/home/camila/repos/apache/rocketmq,True,19,19,0,0,1.000
apache,hudi,/home/camila/repos/apache/hudi,True,30,16,14,2,0.533
apache,iceberg,/home/camila/repos/apache/iceberg,False,0,0,0,0,0.000
apache,servicecomb-pack,/home/camila/repos/apache/servicecomb-pack,True,8,1,7,0,0.125
apache,shiro,/home/camila/repos/apache/shiro,True,13,13,0,0,1.000
apache,opennlp,/home/camila/repos/apache/opennlp,True,9,9,0,0,1.000
apache,zookeeper,/home/camila/repos/apache/zookeeper,False,0,0,0,0,0.000
apache,avro,/home/camila/repos/apache/avro,False,0,0,0,0,0.000
apache,shardingsphere-elasticjob,/home/camila/repos/apache/shardingsphere-elasticjob,True,11,11,0,0,1.000
apache,bookkeeper,/home/camila/repos/apache/bookkeeper,False,0,0,0,0,0.000
apache,curator,/home/camila/repos/apache/curator,True,12,12,0,0,1.000
apache,netbeans,/home/camila/repos/apache/netbeans,False,0,0,0,0,0.000
apache,nutch,/home/camila/repos/apache/nutch,False,0,0,0,0,0.000
apache,servicecomb-java-chassis,/home/camila/repos/apache/servicecomb-java-chassis,True,22,2,20,0,0.091
apache,httpcomponents-client,/home/camila/repos/apache/httpcomponents-client,True,4,4,0,0,1.000
apache,calcite,/home/camila/repos/apache/calcite,False,0,0,0,0,0.000
apache,dubbo,/home/camila/repos/apache/dubbo,True,18,17,1,1,0.944
apache,drill,/home/camila/repos/apache/drill,True,8,8,0,1,1.000
apache,pulsar,/home/camila/repos/apache/pulsar,True,0,0,0,41,0.000
apache,zeppelin,/home/camila/repos/apache/zeppelin,True,39,15,24,4,0.385
apache,iotdb,/home/camila/repos/apache/iotdb,True,7,7,0,2,1.000
apache,skywalking,/home/camila/repos/apache/skywalking,True,1,1,0,4,1.000
apache,tika,/home/camila/repos/apache/tika,True,21,0,21,0,0.000
apache,nifi,/home/camila/repos/apache/nifi,True,20,20,0,0,1.000
apache,commons-lang,/home/camila/repos/apache/commons-lang,True,0,0,0,0,0.000
apache,gobblin,/home/camila/repos/apache/gobblin,False,0,0,0,0,0.000
apache,struts,/home/camila/repos/apache/struts,True,5,5,0,1,1.000
apache,kafka,/home/camila/repos/apache/kafka,False,0,0,0,0,0.000
apache,geode,/home/camila/repos/apache/geode,False,0,0,0,0,0.000
apache,pdfbox,/home/camila/repos/apache/pdfbox,True,12,0,12,0,0.000
apache,storm,/home/camila/repos/apache/storm,True,14,9,5,3,0.643
apache,activemq,/home/camila/repos/apache/activemq,True,35,35,0,0,1.000
apache,maven,/home/camila/repos/apache/maven,True,25,24,1,0,0.960
apache,poi,/home/camila/repos/apache/poi,False,0,0,0,0,0.000
