Project Name,Maven Count,Gradle Count,Multimodule Count
Activiti/Activiti,1,0,1
aimacode/aima-java,1,0,0
airbnb/lottie-android,0,1,0
airbytehq/airbyte,0,1,0
airsonic/airsonic,1,0,1
alibaba/spring-cloud-alibaba,1,0,1
alibaba/atlas,0,1,0
alibaba/nacos,1,0,1
alibaba/fastjson,1,0,0
aliyun/aliyun-openapi-java-sdk,1,0,0
Alluxio/alluxio,1,0,1
AlmasB/FXGL,1,0,1
AltBeacon/android-beacon-library,0,1,0
amaembo/streamex,1,0,0
analysys/EasyScheduler,1,0,1
android-hacker/VirtualXposed,0,1,0
Angel-ML/angel,1,0,1
ankidroid/Anki-Android,0,1,0
AntennaPod/AntennaPod,0,1,0
antlr/antlr4,1,0,1
AnySoftKeyboard/AnySoftKeyboard,0,1,0
aol/cyclops,0,1,0
apache/rocketmq,1,0,1
apache/hudi,1,0,1
apache/iceberg,0,1,0
apache/servicecomb-pack,1,0,1
apache/flume,1,0,1
apache/shiro,1,0,1
apache/opennlp,1,0,1
apache/avro,1,0,0
apache/shardingsphere-elasticjob,1,0,1
apache/parquet-mr,1,0,1
apache/curator,1,0,1
apache/netbeans,1,0,0
apache/servicecomb-java-chassis,1,0,1
apache/httpcomponents-client,1,0,1
apache/calcite,0,1,0
apache/dubbo,1,0,1
apache/drill,1,0,1
apache/pulsar,1,0,0
apache/zeppelin,1,0,1
apache/iotdb,1,0,1
apache/skywalking,1,0,1
apache/tika,1,0,1
apache/nifi,1,0,1
apache/incubator-gobblin,0,1,0
apache/commons-lang,1,0,0
apache/gobblin,0,1,0
apache/struts,1,0,1
apache/incubator-pinot,1,0,1
apache/kafka,0,1,0
apache/geode,0,1,0
apache/incubator-druid,1,0,1
apache/pdfbox,1,0,1
apache/storm,1,0,1
apache/activemq,1,0,1
apache/maven,1,0,1
apache/poi,0,1,0
apache/groovy,0,1,0
apache/jmeter,0,1,0
apache/tinkerpop,1,0,1
apache/flink,1,0,1
apache/incubator-shardingsphere,1,0,1
apache/tomcat,1,0,0
apache/hadoop,1,0,1
apache/beam,0,1,0
apache/ambari,1,0,0
apereo/cas,1,0,0
asciidocfx/AsciidocFX,1,0,0
assertj/assertj-core,1,0,1
AsyncHttpClient/async-http-client,1,0,1
Athou/commafeed,1,0,1
Atmosphere/atmosphere,1,0,1
Automattic/simplenote-android,0,1,0
aws/aws-sdk-java,1,0,1
aws/aws-sdk-java-v2,1,0,1
awsdocs/aws-doc-sdk-examples,1,0,0
awslabs/djl,0,1,0
AxonFramework/AxonFramework,1,0,1
azkaban/azkaban,0,1,0
baomidou/mybatis-plus,0,1,0
bazelbuild/bazel,1,0,1
bcgit/bc-java,0,1,0
ben-manes/caffeine,0,1,0
bigbluebutton/bigbluebutton,0,1,0
bisq-network/bisq,0,1,0
bitcoin-wallet/bitcoin-wallet,0,1,0
bitcoinj/bitcoinj,0,1,0
Blankj/AndroidUtilCode,0,1,0
bonigarcia/webdrivermanager,1,0,0
bootique/bootique,1,0,1
bpellin/keepassdroid,0,1,0
brettwooldridge/HikariCP,1,0,0
brianfrankcooper/YCSB,1,0,1
broadinstitute/gatk,0,1,0
BroadleafCommerce/BroadleafCommerce,1,0,1
btraceio/btrace,0,1,0
buchen/portfolio,1,0,1
BuildCraft/BuildCraft,0,1,0
Bukkit/Bukkit,1,0,0
bumptech/glide,0,1,0
bytedeco/javacpp-presets,1,0,0
cabaletta/baritone,0,1,0
camunda/camunda-bpm-platform,1,0,0
camunda-cloud/zeebe,1,0,1
cbeust/testng,0,1,0
ccrama/Slide,0,1,0
CellularPrivacy/Android-IMSI-Catcher-Detector,0,1,0
cgeo/cgeo,0,1,0
checkstyle/checkstyle,1,0,0
ChrisRM/material-theme-jetbrains,0,1,0
cincheo/jsweet,1,0,1
claritylab/lucida,0,1,0
classgraph/classgraph,1,0,0
clojure/clojure,1,0,0
cloudfoundry/uaa,0,1,0
code4craft/webmagic,1,0,1
codecentric/spring-boot-admin,1,0,1
codinguser/gnucash-android,0,1,0
Col-E/Recaf,0,1,0
confluentinc/kafka-rest,1,0,1
confluentinc/schema-registry,1,0,1
confluentinc/ksql,1,0,1
connectbot/connectbot,0,1,0
crate/crate,1,0,1
cryptomator/cryptomator,1,0,0
cSploit/android,0,1,0
ctripcorp/apollo,1,0,1
cuba-platform/cuba,0,1,0
cucumber/cucumber-jvm,1,0,1
danfickle/openhtmltopdf,1,0,1
dbeaver/dbeaver,1,0,1
debezium/debezium,1,0,1
deeplearning4j/dl4j-examples,1,0,0
diffplug/spotless,0,1,0
docker-java/docker-java,1,0,1
DozerMapper/dozer,1,0,1
dreamhead/moco,0,1,0
drewnoakes/metadata-extractor,1,0,0
dromara/soul,1,0,1
dropwizard/metrics,1,0,1
dropwizard/dropwizard,1,0,1
DV8FromTheWorld/JDA,0,1,0
ebean-orm/ebean,1,0,1
eclipse/eclipse-collections,1,0,1
eclipse/jetty.project,1,0,1
eclipse-vertx/vert.x,1,0,1
ehcache/ehcache3,0,1,0
elastic/elasticsearch-hadoop,0,1,0
elastic/elasticsearch,0,1,0
ElderDrivers/EdXposedManager,0,1,0
embulk/embulk,0,1,0
EngineHub/WorldEdit,0,1,0
Etar-Group/Etar-Calendar,0,1,0
ethereum/ethereumj,0,1,0
fabric8io/docker-maven-plugin,1,0,0
fabric8io/kubernetes-client,1,0,1
facebook/fresco,0,1,0
FasterXML/jackson-core,1,0,0
FasterXML/jackson-databind,1,0,0
federicoiosue/Omni-Notes,0,1,0
find-sec-bugs/find-sec-bugs,1,0,1
firebase/firebase-android-sdk,0,1,0
firebase/FirebaseUI-Android,0,1,0
floragunncom/search-guard,1,0,1
flowable/flowable-engine,1,0,1
flutter/flutter-intellij,0,1,0
flyingsaucerproject/flyingsaucer,1,0,1
flyway/flyway,1,0,1
fossasia/open-event-organizer-android,0,1,0
fossasia/phimpme-android,0,1,0
fossasia/susi_server,0,1,0
functionaljava/functionaljava,0,1,0
galenframework/galen,1,0,1
gchq/Gaffer,1,0,1
geometer/FBReaderJ,0,1,0
geoserver/geoserver,1,0,0
geotools/geotools,1,0,1
gephi/gephi,1,0,1
GeyserMC/Geyser,0,1,0
git-commit-id/git-commit-id-maven-plugin,1,0,0
GlowstoneMC/Glowstone,0,1,0
gocd/gocd,0,1,0
google/auto,1,0,1
google/data-transfer-project,0,1,0
google/truth,1,0,1
google/gson,1,0,1
google/guice,1,0,1
google/volley,0,1,0
google/nomulus,0,1,0
google/error-prone,1,0,1
google/j2objc,1,0,0
google/guava,1,0,1
googleapis/google-http-java-client,1,0,1
googleapis/google-api-java-client,1,0,1
googleapis/google-cloud-java,1,0,1
GoogleContainerTools/jib,0,1,0
graphhopper/jsprit,1,0,1
graphhopper/graphhopper,1,0,1
graphql-java/graphql-java,0,1,0
Graylog2/graylog2-server,1,0,1
grpc/grpc-java,0,1,0
gsantner/markor,0,1,0
guoguibing/librec,1,0,1
haifengl/smile,0,1,0
hapifhir/hapi-fhir,1,0,1
haraldk/TwelveMonkeys,1,0,1
hawtio/hawtio,1,0,1
hcoles/pitest,1,0,1
hidroh/materialistic,0,1,0
hneemann/Digital,1,0,0
huanghongxun/HMCL,0,1,0
hugegraph/hugegraph,1,0,1
i2p/i2p.i2p,0,1,0
iBotPeaches/Apktool,0,1,0
igniterealtime/Smack,0,1,0
igniterealtime/Openfire,1,0,1
iluwatar/java-design-patterns,1,0,1
immutables/immutables,1,0,1
iNPUTmice/Conversations,0,1,0
INRIA/spoon,1,0,0
Intel-bigdata/HiBench,1,0,1
internetarchive/heritrix3,1,0,1
intuit/karate,1,0,1
iotaledger/iri,1,0,0
iSoron/uhabits,0,1,0
iterate-ch/cyberduck,1,0,1
itext/itextpdf,1,0,1
j-easy/easy-random,1,0,0
JabRef/jabref,0,1,0
jacoco/jacoco,1,0,1
jamesdbloom/mockserver,1,0,1
jankotek/mapdb,1,0,0
JanusGraph/janusgraph,1,0,1
java-json-tools/json-schema-validator,0,1,0
javamelody/javamelody,1,0,1
javaparser/javaparser,1,0,1
jberkel/sms-backup-plus,0,1,0
jchambers/pushy,1,0,1
jdbi/jdbi,1,0,1
jenkinsci/gitlab-plugin,1,0,0
jenkinsci/kubernetes-plugin,1,0,0
jenkinsci/blueocean-plugin,1,0,1
jenkinsci/jenkins,1,0,1
jeremylong/DependencyCheck,1,0,1
JessYanCoding/MVPArms,0,1,0
JesusFreke/smali,0,1,0
JetBrains/ideavim,0,1,0
JetBrains/intellij-plugins,0,1,0
JetBrains/intellij-community,0,1,0
jfoenixadmin/JFoenix,0,1,0
jhy/jsoup,1,0,0
jindrapetrik/jpexs-decompiler,1,0,0
jitsi/jitsi-videobridge,1,0,1
jitsi/jitsi,1,0,1
jMonkeyEngine/jmonkeyengine,0,1,0
jmxtrans/jmxtrans,1,0,1
JodaOrg/joda-time,1,0,0
joel-costigliola/assertj-core,1,0,1
joelittlejohn/jsonschema2pojo,1,0,1
jooby-project/jooby,1,0,1
journeyapps/zxing-android-embedded,0,1,0
jphp-group/jphp,0,1,0
jpush/aurora-imui,0,1,0
JSQLParser/JSqlParser,1,0,0
jtablesaw/tablesaw,1,0,1
junit-team/junit4,1,0,0
junit-team/junit5,0,1,0
k0shk0sh/FastHub,0,1,0
k9mail/k-9,0,1,0
kabouzeid/Phonograph,0,1,0
kairosdb/kairosdb,1,0,0
kalessil/phpinspectionsea,0,1,0
kermitt2/grobid,0,1,0
keycloak/keycloak,1,0,1
kickstarter/android-oss,0,1,0
kiegroup/jbpm,1,0,1
kiegroup/optaplanner,1,0,1
kiegroup/drools,1,0,1
killbill/killbill,1,0,1
knowm/XChart,1,0,1
knowm/XChange,1,0,1
Kong/unirest-java,1,0,1
konsoletyper/teavm,0,1,0
koral--/android-gif-drawable,0,1,0
koush/AndroidAsync,0,1,0
KronicDeth/intellij-elixir,0,1,0
kubernetes-client/java,1,0,1
languagetool-org/languagetool,1,0,1
LawnchairLauncher/Lawnchair,0,1,0
lbryio/lbry-android,0,1,0
lettuce-io/lettuce-core,1,0,0
liaochong/myexcel,1,0,0
libgdx/libgdx,0,1,0
LibrePDF/OpenPDF,1,0,1
liferay/liferay-portal,0,1,0
line/armeria,0,1,0
linkedin/rest.li,0,1,0
linkedin/ambry,0,1,0
liquibase/liquibase,1,0,1
lucko/LuckPerms,0,1,0
lukas-krecan/ShedLock,1,0,1
LWJGL/lwjgl3,1,0,0
M66B/NetGuard,0,1,0
mabe02/lanterna,1,0,0
magefree/mage,1,0,1
manifold-systems/manifold,1,0,1
mapstruct/mapstruct,1,0,1
marytts/marytts,0,1,0
material-components/material-components-android,0,1,0
mendhak/gpslogger,0,1,0
micrometer-metrics/micrometer,0,1,0
micronaut-projects/micronaut-core,0,1,0
microsoft/malmo,0,1,0
MinecraftForge/MinecraftForge,0,1,0
mitreid-connect/OpenID-Connect-Java-Spring-Server,1,0,1
mock-server/mockserver,1,0,1
mockito/mockito,0,1,0
moezbhatti/qksms,0,1,0
mongodb/mongo-java-driver,0,1,0
moquette-io/moquette,1,0,1
MorphiaOrg/morphia,1,0,1
MovingBlocks/Terasology,0,1,0
mozilla-mobile/focus-android,0,1,0
MyCATApache/Mycat-Server,1,0,0
NationalSecurityAgency/ghidra,0,1,0
naver/ngrinder,0,1,0
naver/pinpoint,1,0,1
Neamar/KISS,0,1,0
neo4j-contrib/neo4j-apoc-procedures,0,1,0
Netflix/astyanax,0,1,0
Netflix/servo,0,1,0
Netflix/eureka,0,1,0
Netflix/Hystrix,0,1,0
netty/netty,1,0,1
networknt/light-4j,1,0,1
nextcloud/android,0,1,0
ninjaframework/ninja,1,0,1
nitaliano/react-native-mapbox-gl,0,1,0
npgall/cqengine,1,0,0
nutzam/nutz,1,0,0
oblac/jodd,0,1,0
open-keychain/open-keychain,0,1,0
OpenAPITools/openapi-generator,1,0,0
OpenHFT/Chronicle-Map,1,0,0
OpenHFT/Chronicle-Queue,1,0,0
OpenRefine/OpenRefine,1,0,1
opensourceBIM/BIMserver,1,0,1
opentripplanner/OpenTripPlanner,1,0,0
OpenVidu/openvidu,1,0,0
openzipkin/brave,1,0,1
openzipkin/zipkin,1,0,1
oracle/visualvm,1,0,1
orgzly/orgzly-android,0,1,0
OryxProject/oryx,1,0,1
osmandapp/Osmand,0,1,0
osmandapp/OsmAnd,0,1,0
osmdroid/osmdroid,0,1,0
owncloud/android,0,1,0
p6spy/p6spy,0,1,0
pentaho/pentaho-kettle,1,0,0
PhilippC/keepass2android,0,1,0
PhilJay/MPAndroidChart,0,1,0
pinterest/secor,1,0,0
plutext/docx4j,1,0,1
pmd/pmd,1,0,1
pockethub/PocketHub,0,1,0
powermock/powermock,0,1,0
pravega/pravega,0,1,0
prestodb/presto,1,0,1
primefaces/primefaces,1,0,1
protostuff/protostuff,1,0,1
psi-probe/psi-probe,1,0,0
puniverse/quasar,0,1,0
pushtorefresh/storio,0,1,0
pytorch/serve,1,0,0
qos-ch/slf4j,1,0,1
qos-ch/logback,1,0,1
QuantumBadger/RedReader,0,1,0
quarkusio/quarkus-quickstarts,1,0,1
quarkusio/quarkus,1,0,1
querydsl/querydsl,1,0,0
questdb/questdb,1,0,1
quran/quran_android,0,1,0
Rajawali/Rajawali,0,1,0
raphw/byte-buddy,1,0,1
ratpack/ratpack,0,1,0
react-native-community/react-native-svg,0,1,0
react-native-svg/react-native-svg,0,1,0
ReactiveX/RxJava,0,1,0
reactor/reactor-core,0,1,0
reactor/reactor-netty,0,1,0
real-logic/agrona,0,1,0
real-logic/simple-binary-encoding,0,1,0
real-logic/aeron,0,1,0
redisson/redisson,1,0,1
redsolution/xabber-android,0,1,0
relayrides/pushy,1,0,1
remkop/picocli,1,0,0
rest-assured/rest-assured,1,0,1
RipMeApp/ripme,1,0,0
robolectric/robolectric,0,1,0
rstudio/rstudio,0,1,0
runelite/runelite,1,0,1
rzwitserloot/lombok,1,0,0
Sable/soot,1,0,0
sannies/mp4parser,1,0,1
schwabe/ics-openvpn,0,1,0
scouter-project/scouter,1,0,1
scribejava/scribejava,1,0,1
selenide/selenide,0,1,0
SeleniumHQ/selenium,1,0,0
siacs/Conversations,0,1,0
siddhi-io/siddhi,1,0,1
signalapp/Signal-Android,0,1,0
SilenceIM/Silence,0,1,0
simpligility/android-maven-plugin,1,0,0
skylot/jadx,0,1,0
slapperwan/gh4a,0,1,0
sleuthkit/autopsy,1,0,0
SonarSource/sonarqube,0,1,0
soot-oss/soot,1,0,0
speedment/speedment,1,0,1
SpigotMC/BungeeCord,1,0,1
SpongePowered/SpongeAPI,0,1,0
SpongePowered/SpongeForge,0,1,0
spotbugs/spotbugs,0,1,0
spotify/docker-client,1,0,0
spotify/helios,1,0,1
spring-cloud/spring-cloud-config,1,0,1
spring-cloud/spring-cloud-gateway,1,0,1
spring-cloud/spring-cloud-sleuth,1,0,1
spring-cloud/spring-cloud-netflix,1,0,1
spring-io/start.spring.io,1,0,1
spring-io/initializr,1,0,1
spring-projects/spring-session,0,1,0
spring-projects/spring-kafka,0,1,0
spring-projects/spring-data-redis,1,0,0
spring-projects/spring-batch,1,0,1
spring-projects/spring-security,0,1,0
spring-projects/spring-integration,0,1,0
spring-projects/spring-boot,0,1,0
springdoc/springdoc-openapi,1,0,1
springfox/springfox,0,1,0
square/keywhiz,1,0,1
square/retrofit,0,1,0
square/wire,0,1,0
square/okhttp,0,1,0
sshahine/JFoenix,0,1,0
stagemonitor/stagemonitor,0,1,0
stanfordnlp/CoreNLP,1,0,0
strapdata/elassandra,0,1,0
strimzi/strimzi-kafka-operator,1,0,1
swagger-api/swagger-core,1,0,1
syncany/syncany,0,1,0
syncthing/syncthing-android,0,1,0
synthetichealth/synthea,0,1,0
TeamAmaze/AmazeFileManager,0,1,0
TeamNewPipe/NewPipe,0,1,0
TechEmpower/FrameworkBenchmarks,1,0,0
testcontainers/testcontainers-java,0,1,0
theonedev/onedev,1,0,0
thingsboard/thingsboard,1,0,1
thymeleaf/thymeleaf,1,0,0
timusus/Shuttle,0,1,0
tlaplus/tlaplus,1,0,1
TNG/ArchUnit,0,1,0
tomakehurst/wiremock,0,1,0
toolbox4minecraft/amidst,1,0,0
traccar/traccar,0,1,0
trinodb/trino,1,0,1
tronprotocol/java-tron,0,1,0
twitter/elephant-bird,1,0,0
Twitter4J/Twitter4J,0,1,0
ukanth/afwall,0,1,0
unclebob/fitnesse,0,1,0
undertow-io/undertow,1,0,1
UnevenSoftware/LeafPic,0,1,0
UniversalMediaServer/UniversalMediaServer,1,0,0
vaadin/framework,1,0,0
vavr-io/vavr,1,0,1
vector-im/riot-android,0,1,0
VertaAI/modeldb,1,0,1
vespa-engine/vespa,1,0,1
vipshop/Saturn,1,0,1
VoltDB/voltdb,0,1,0
vsch/flexmark-java,1,0,1
w3c/epubcheck,1,0,0
web3j/web3j,0,1,0
webbukkit/dynmap,0,1,0
westnordost/StreetComplete,0,1,0
wikimedia/apps-android-wikipedia,0,1,0
wildfly/wildfly,1,0,1
winder/Universal-G-Code-Sender,1,0,1
wix/react-native-navigation,0,1,0
wordpress-mobile/WordPress-Android,0,1,0
xerial/sqlite-jdbc,1,0,0
xetorthio/jedis,1,0,0
xuxueli/xxl-job,1,0,1
yacy/yacy_search_server,1,0,0
yeriomin/YalpStore,0,1,0
yuliskov/SmartTubeNext,0,1,0
zalando/zalenium,1,0,0
zaproxy/zaproxy,0,1,0
zendesk/maxwell,1,0,0
zeromq/jeromq,1,0,1
zxing/zxing,1,0,1
