project_name,normal_output_count,pom_no_version_count
jbpm,2,3
pentaho-kettle,21,0
processing,1,0
Activiti,2,0
spring-cloud-alibaba,2,0
nacos,2,0
fastjson,2,0
aliyun-openapi-java-sdk,1,0
alluxio,2,0
hudi,6,0
iceberg,4,0
servicecomb-pack,1,4
shiro,2,0
shardingsphere-elasticjob,3,0
bookkeeper,1,0
netbeans,16,1
servicecomb-java-chassis,1,0
calcite,8,0
dubbo,1,0
drill,13,0
pulsar,13,0
zeppelin,9,1
iotdb,2,0
skywalking,9,0
tika,7,0
nifi,10,1
gobblin,7,0
geode,7,0
storm,5,0
activemq,3,0
logging-log4j2,5,0
hive,13,0
groovy,9,0
jmeter,12,0
tinkerpop,4,0
flink,5,2
tomcat,5,0
hadoop,7,0
beam,19,0
ambari,10,0
camel,17,2
cas,16,0
commafeed,3,0
atmosphere,1,0
aws-sdk-java,2,0
aws-sdk-java-v2,3,0
AxonFramework,5,0
azkaban,4,0
bazel,1,0
caffeine,3,0
bootique,1,0
HikariCP,4,0
gatk,2,0
BroadleafCommerce,1,0
camunda-bpm-platform,6,0
Android-IMSI-Catcher-Detector,1,0
cgeo,1,0
checkstyle,1,0
uaa,3,0
spring-boot-admin,2,0
ksql,1,0
crate,1,0
cuba,6,0
cucumber-jvm,0,1
dbeaver,25,0
debezium,10,0
dropwizard,4,0
ebean,12,0
ehcache3,1,0
elasticsearch,5,0
docker-maven-plugin,1,0
kubernetes-client,1,0
jackson-databind,1,0
firebase-android-sdk,2,0
flowable-engine,9,0
flyway,21,0
pslab-android,1,0
geoserver,14,0
geotools,15,0
gephi,4,0
gocd,5,0
gson,1,0
guice,1,0
copybara,1,0
nomulus,2,0
error-prone,1,0
guava,0,1
google-http-java-client,1,0
google-api-java-client,1,0
google-cloud-java,3,0
jib,1,0
graphql-java,1,0
graylog2-server,2,0
grpc-java,1,0
smile,4,0
hapi-fhir,7,0
hawtio,1,0
Openfire,10,0
java-design-patterns,2,1
immutables,1,0
spoon,4,1
heritrix3,1,0
cyberduck,1,0
jabref,6,0
janusgraph,3,0
javamelody,5,0
jdbi,10,0
gitlab-plugin,1,1
DependencyCheck,6,0
intellij-plugins,3,0
jitsi,1,0
jooby,10,0
JSqlParser,1,0
tablesaw,1,0
keycloak,5,0
killbill,3,1
languagetool,3,0
armeria,1,0
ambry,3,0
liquibase,14,0
ShedLock,20,0
mage,2,0
manifold,6,0
micrometer,6,0
micronaut-core,6,0
OpenID-Connect-Java-Spring-Server,4,0
mongo-java-driver,2,0
moquette,2,0
morphia,2,0
ghidra,4,0
ngrinder,3,0
neo4j-apoc-procedures,11,0
genie,4,0
netty,3,0
light-4j,5,0
android,1,0
nutz,8,0
jodd,3,0
openapi-generator,5,0
Chronicle-Queue,0,1
OpenRefine,3,0
BIMserver,3,0
brave,2,0
zipkin,2,0
graal,6,0
visualvm,1,0
OsmAnd,1,0
osmdroid,1,0
pac4j,4,0
pmd,2,0
presto,11,0
primefaces,1,0
psi-probe,1,0
serve,1,0
logback,5,0
quarkus,8,2
querydsl,13,0
questdb,4,0
byte-buddy,1,0
ratpack,4,0
redisson,4,0
ripme,1,0
rstudio,1,0
selenium,3,0
Signal-Android,1,0
autopsy,4,0
sonarqube,7,0
spock,1,0
spotbugs,3,0
spring-cloud-config,3,1
spring-cloud-gateway,1,0
spring-cloud-sleuth,3,4
spring-kafka,1,0
spring-data-redis,1,0
spring-batch,13,0
spring-security,4,0
spring-integration,10,0
spring-boot,21,0
springdoc-openapi,0,1
CoreNLP,2,0
strimzi-kafka-operator,2,0
teammates,10,0
FrameworkBenchmarks,7,0
testcontainers-java,17,1
onedev,6,0
thingsboard,3,0
traccar,4,0
trino,16,1
undertow,1,0
UniversalMediaServer,2,1
framework,7,0
validator,1,0
modeldb,4,0
vespa,1,0
Saturn,1,1
dynmap,4,0
wildfly,2,7
xxl-job,1,0
yacy_search_server,2,0
zaproxy,3,0
maxwell,2,0
liferay-portal,11,0
