owner,name,has_external_version_files,files,reason
Activiti,Activiti,False,,
airbnb,lottie-android,False,,no_root_pom
alibaba,spring-cloud-alibaba,False,,
alibaba,nacos,False,,
alibaba,fastjson,False,,
aliyun,aliyun-openapi-java-sdk,False,,no_root_pom
Alluxio,alluxio,False,,
AlmasB,FXGL,False,,
AntennaPod,AntennaPod,False,,no_root_pom
antlr,antlr4,False,,
AnySoftKeyboard,AnySoftKeyboard,False,,no_root_pom
apache,rocketmq,False,,
apache,hudi,False,,
apache,iceberg,False,,no_root_pom
apache,servicecomb-pack,False,,
apache,shiro,False,,
apache,opennlp,False,,
apache,zookeeper,False,,no_root_pom
apache,avro,False,,no_root_pom
apache,shardingsphere-elasticjob,False,,
apache,bookkeeper,False,,no_root_pom
apache,curator,False,,
apache,netbeans,False,,no_root_pom
apache,nutch,False,,no_root_pom
apache,servicecomb-java-chassis,False,,
apache,httpcomponents-client,False,,
apache,calcite,False,,no_root_pom
apache,dubbo,False,,
apache,drill,False,,
apache,pulsar,False,,
apache,zeppelin,False,,
apache,iotdb,False,,
apache,skywalking,False,,
apache,tika,False,,
apache,nifi,False,,
apache,commons-lang,False,,
apache,gobblin,False,,no_root_pom
apache,struts,False,,
apache,kafka,False,,no_root_pom
apache,geode,False,,no_root_pom
apache,pdfbox,False,,
apache,storm,False,,
apache,activemq,False,,
apache,maven,False,,
apache,poi,False,,no_root_pom
apache,logging-log4j2,False,,no_root_pom
apache,hive,False,,no_root_pom
apache,groovy,False,,no_root_pom
apache,jmeter,False,,no_root_pom
apache,tinkerpop,False,,
apache,flink,False,,
apache,tomcat,False,,no_root_pom
apache,hadoop,False,,
apache,beam,False,,no_root_pom
apache,ambari,False,,
apache,camel,False,,no_root_pom
apereo,cas,False,,
asciidocfx,AsciidocFX,False,,
AsyncHttpClient,async-http-client,False,,
Athou,commafeed,False,,
Atmosphere,atmosphere,False,,
Automattic,simplenote-android,False,,no_root_pom
aws,aws-sdk-java,False,,
aws,aws-sdk-java-v2,False,,
AxonFramework,AxonFramework,False,,
azkaban,azkaban,False,,no_root_pom
bazelbuild,bazel,False,,no_root_pom
bcgit,bc-java,False,,no_root_pom
ben-manes,caffeine,False,,no_root_pom
bisq-network,bisq,False,,no_root_pom
bitcoin-wallet,bitcoin-wallet,False,,no_root_pom
bitcoinj,bitcoinj,False,,no_root_pom
Blankj,AndroidUtilCode,False,,no_root_pom
bonigarcia,webdrivermanager,False,,
bootique,bootique,False,,
brettwooldridge,HikariCP,False,,
broadinstitute,gatk,False,,no_root_pom
BroadleafCommerce,BroadleafCommerce,False,,
BuildCraft,BuildCraft,False,,no_root_pom
bumptech,glide,False,,no_root_pom
bytedeco,javacpp-presets,False,,
cabaletta,baritone,False,,no_root_pom
camunda,camunda-bpm-platform,False,,
CellularPrivacy,Android-IMSI-Catcher-Detector,False,,no_root_pom
cgeo,cgeo,False,,no_root_pom
checkstyle,checkstyle,False,,
classgraph,classgraph,False,,
clojure,clojure,False,,
cloudfoundry,uaa,False,,no_root_pom
codecentric,spring-boot-admin,False,,
Col-E,Recaf,False,,no_root_pom
confluentinc,kafka-rest,False,,
confluentinc,schema-registry,False,,
confluentinc,ksql,False,,
connectbot,connectbot,False,,no_root_pom
crate,crate,False,,
cryptomator,cryptomator,False,,
cSploit,android,False,,no_root_pom
cuba-platform,cuba,False,,no_root_pom
cucumber,cucumber-jvm,False,,
danfickle,openhtmltopdf,False,,
dbeaver,dbeaver,False,,
debezium,debezium,False,,
diffplug,spotless,False,,no_root_pom
docker-java,docker-java,False,,
dreamhead,moco,False,,no_root_pom
drewnoakes,metadata-extractor,False,,
dropwizard,metrics,False,,
dropwizard,dropwizard,False,,
ebean-orm,ebean,False,,
eclipse,eclipse-collections,False,,
eclipse-vertx,vert.x,False,,
ehcache,ehcache3,False,,no_root_pom
elastic,elasticsearch-hadoop,False,,no_root_pom
elastic,elasticsearch,False,,no_root_pom
embulk,embulk,False,,no_root_pom
EngineHub,WorldEdit,False,,no_root_pom
ervandew,eclim,False,,no_root_pom
Etar-Group,Etar-Calendar,False,,no_root_pom
fabric8io,docker-maven-plugin,False,,
fabric8io,kubernetes-client,False,,
facebook,fresco,False,,no_root_pom
facebook,litho,False,,no_root_pom
FasterXML,jackson-core,False,,
FasterXML,jackson-databind,False,,
federicoiosue,Omni-Notes,False,,no_root_pom
firebase,firebase-android-sdk,False,,no_root_pom
flowable,flowable-engine,False,,
flutter,flutter-intellij,False,,no_root_pom
flyingsaucerproject,flyingsaucer,False,,
flyway,flyway,False,,
fossasia,pslab-android,False,,no_root_pom
geoserver,geoserver,False,,no_root_pom
geotools,geotools,False,,
gephi,gephi,False,,
GeyserMC,Geyser,False,,no_root_pom
gocd,gocd,False,,no_root_pom
google,auto,False,,no_root_pom
google,truth,False,,
google,gson,False,,
google,guice,False,,
google,copybara,False,,no_root_pom
google,nomulus,False,,no_root_pom
google,error-prone,False,,
google,j2objc,False,,no_root_pom
google,guava,False,,
google,closure-compiler,False,,no_root_pom
googleapis,google-http-java-client,False,,
googleapis,google-api-java-client,False,,
googleapis,google-cloud-java,False,,
GoogleContainerTools,jib,False,,no_root_pom
