Name,Support,Line Count,Lines,Bindings
X -> InY -> Y & OutX,0.28085106382978725,66,0; 3; 5; 6; 13; 20; 23; 27; 30; 33; 38; 39; 44; 46; 48; 49; 52; 53; 56; 58; 60; 63; 65; 69; 70; 73; 74; 75; 77; 82; 84; 87; 100; 101; 110; 113; 114; 115; 116; 133; 135; 138; 140; 149; 150; 153; 156; 158; 161; 162; 165; 171; 173; 182; 190; 196; 203; 207; 209; 210; 212; 214; 220; 221; 222; 233,
MySQL -> InHazelcast -> Hazelcast & OutMySQL,0.00851063829787234,2,27; 44,X = MySQL; Y = Hazelcast
MySQL -> InH2 -> H2 & OutMySQL,0.00425531914893617,1,173,X = MySQL; Y = H2
MySQL -> InMS_SQL_Server -> MS_SQL_Server & OutMySQL,0.00425531914893617,1,27,X = MySQL; Y = MS_SQL_Server
MySQL -> InPostgreSQL -> PostgreSQL & OutMySQL,0.00425531914893617,1,214,X = MySQL; Y = PostgreSQL
MySQL -> InOracle -> Oracle & OutMySQL,0.00851063829787234,2,138; 6,X = MySQL; Y = Oracle
Hazelcast -> InMS_SQL_Server -> MS_SQL_Server & OutHazelcast,0.00425531914893617,1,133,X = Hazelcast; Y = MS_SQL_Server
Hazelcast -> InSAPAdaptiveServer -> SAPAdaptiveServer & OutHazelcast,0.00425531914893617,1,133,X = Hazelcast; Y = SAPAdaptiveServer
Hazelcast -> InHyperSQL -> HyperSQL & OutHazelcast,0.01276595744680851,3,0; 221; 110,X = Hazelcast; Y = HyperSQL
Hazelcast -> InPostgreSQL -> PostgreSQL & OutHazelcast,0.00425531914893617,1,221,X = Hazelcast; Y = PostgreSQL
Hazelcast -> InSAPSQLAnywhere -> SAPSQLAnywhere & OutHazelcast,0.00425531914893617,1,133,X = Hazelcast; Y = SAPSQLAnywhere
H2 -> InMySQL -> MySQL & OutH2,0.00851063829787234,2,171; 173,X = H2; Y = MySQL
H2 -> InHazelcast -> Hazelcast & OutH2,0.00425531914893617,1,44,X = H2; Y = Hazelcast
H2 -> InMS_SQL_Server -> MS_SQL_Server & OutH2,0.00851063829787234,2,171; 101,X = H2; Y = MS_SQL_Server
H2 -> InHyperSQL -> HyperSQL & OutH2,0.00425531914893617,1,162,X = H2; Y = HyperSQL
H2 -> InPostgreSQL -> PostgreSQL & OutH2,0.00425531914893617,1,173,X = H2; Y = PostgreSQL
MS_SQL_Server -> InH2 -> H2 & OutMS_SQL_Server,0.00851063829787234,2,153; 101,X = MS_SQL_Server; Y = H2
MS_SQL_Server -> InHyperSQL -> HyperSQL & OutMS_SQL_Server,0.00425531914893617,1,0,X = MS_SQL_Server; Y = HyperSQL
MS_SQL_Server -> InIBM_DB2 -> IBM_DB2 & OutMS_SQL_Server,0.00425531914893617,1,153,X = MS_SQL_Server; Y = IBM_DB2
MS_SQL_Server -> InOracle -> Oracle & OutMS_SQL_Server,0.00425531914893617,1,6,X = MS_SQL_Server; Y = Oracle
