Name,Support,Line Count,Lines,Bindings
X -> InY -> OutX & Y,0.27896995708154504,65,0; 3; 5; 6; 13; 20; 23; 27; 30; 33; 38; 39; 44; 45; 47; 48; 51; 52; 55; 57; 59; 62; 64; 68; 69; 72; 73; 74; 76; 81; 83; 86; 99; 100; 109; 112; 113; 114; 115; 132; 133; 136; 138; 147; 148; 151; 154; 156; 159; 160; 163; 169; 171; 180; 188; 194; 201; 205; 208; 210; 212; 218; 219; 220; 231,
HyperSQL -> InMySQL -> OutHyperSQL & MySQL,0.02145922746781116,5,48; 100; 148; 86; 188,X = HyperSQL; Y = MySQL
HyperSQL -> InIBM_DB2 -> OutHyperSQL & IBM_DB2,0.004291845493562232,1,148,X = HyperSQL; Y = IBM_DB2
HyperSQL -> InH2 -> OutHyperSQL & H2,0.012875536480686695,3,210; 188; 100,X = HyperSQL; Y = H2
HyperSQL -> InPostgreSQL -> OutHyperSQL & PostgreSQL,0.02145922746781116,5,0; 100; 148; 86; 109,X = HyperSQL; Y = PostgreSQL
HyperSQL -> InOracle -> OutHyperSQL & Oracle,0.008583690987124463,2,148; 38,X = HyperSQL; Y = Oracle
HyperSQL -> InMS_SQL_Server -> OutHyperSQL & MS_SQL_Server,0.004291845493562232,1,27,X = HyperSQL; Y = MS_SQL_Server
HyperSQL -> InHazelcast -> OutHyperSQL & Hazelcast,0.004291845493562232,1,44,X = HyperSQL; Y = Hazelcast
MySQL -> InH2 -> OutMySQL & H2,0.004291845493562232,1,171,X = MySQL; Y = H2
MySQL -> InPostgreSQL -> OutMySQL & PostgreSQL,0.004291845493562232,1,212,X = MySQL; Y = PostgreSQL
MySQL -> InOracle -> OutMySQL & Oracle,0.008583690987124463,2,136; 6,X = MySQL; Y = Oracle
MySQL -> InMS_SQL_Server -> OutMySQL & MS_SQL_Server,0.004291845493562232,1,27,X = MySQL; Y = MS_SQL_Server
MySQL -> InHazelcast -> OutMySQL & Hazelcast,0.008583690987124463,2,27; 44,X = MySQL; Y = Hazelcast
IBM_DB2 -> InMySQL -> OutIBM_DB2 & MySQL,0.004291845493562232,1,148,X = IBM_DB2; Y = MySQL
IBM_DB2 -> InPostgreSQL -> OutIBM_DB2 & PostgreSQL,0.004291845493562232,1,218,X = IBM_DB2; Y = PostgreSQL
IBM_DB2 -> InOracle -> OutIBM_DB2 & Oracle,0.004291845493562232,1,148,X = IBM_DB2; Y = Oracle
IBM_DB2 -> InMS_SQL_Server -> OutIBM_DB2 & MS_SQL_Server,0.008583690987124463,2,218; 27,X = IBM_DB2; Y = MS_SQL_Server
H2 -> InHyperSQL -> OutH2 & HyperSQL,0.004291845493562232,1,160,X = H2; Y = HyperSQL
H2 -> InMySQL -> OutH2 & MySQL,0.008583690987124463,2,169; 171,X = H2; Y = MySQL
H2 -> InPostgreSQL -> OutH2 & PostgreSQL,0.004291845493562232,1,171,X = H2; Y = PostgreSQL
H2 -> InMS_SQL_Server -> OutH2 & MS_SQL_Server,0.008583690987124463,2,169; 100,X = H2; Y = MS_SQL_Server
H2 -> InHazelcast -> OutH2 & Hazelcast,0.004291845493562232,1,44,X = H2; Y = Hazelcast
PostgreSQL -> InMySQL -> OutPostgreSQL & MySQL,0.004291845493562232,1,148,X = PostgreSQL; Y = MySQL
