Name,Support,Line Count,Lines,Bindings,Source
X -> InY & OutX -> Y,0.10300429184549356,24,3; 68; 5; 74; 76; 13; 205; 208; 147; 20; 212; 86; 23; 151; 219; 92; 33; 44; 45; 47; 48; 112; 115; 56,,X -> InY & OutX -> Y -v X -v Y
PostgreSQL -> InOracle & OutPostgreSQL -> Oracle,0.012875536480686695,3,76; 13; 23,X = PostgreSQL; Y = Oracle,X -> InY & OutX -> Y -v X -v Y
IBM_DB2 -> InHyperSQL & OutIBM_DB2 -> HyperSQL,0.004291845493562232,1,68,X = IBM_DB2; Y = HyperSQL,X -> InY & OutX -> Y -v X -v Y
MySQL -> InPostgreSQL & OutMySQL -> PostgreSQL,0.004291845493562232,1,56,X = MySQL; Y = PostgreSQL,X -> InY & OutX -> Y -v X -v Y
MySQL -> InIBM_DB2 & OutMySQL -> IBM_DB2,0.004291845493562232,1,86,X = MySQL; Y = IBM_DB2,X -> InY & OutX -> Y -v X -v Y
MySQL -> InOracle & OutMySQL -> Oracle,0.004291845493562232,1,23,X = MySQL; Y = Oracle,X -> InY & OutX -> Y -v X -v Y
MySQL -> InH2 & OutMySQL -> H2,0.004291845493562232,1,208,X = MySQL; Y = H2,X -> InY & OutX -> Y -v X -v Y
MS_SQL_Server -> InIBM_DB2 & OutMS_SQL_Server -> IBM_DB2,0.004291845493562232,1,151,X = MS_SQL_Server; Y = IBM_DB2,X -> InY & OutX -> Y -v X -v Y
MS_SQL_Server -> InHyperSQL & OutMS_SQL_Server -> HyperSQL,0.004291845493562232,1,68,X = MS_SQL_Server; Y = HyperSQL,X -> InY & OutX -> Y -v X -v Y
HyperSQL -> InPostgreSQL & OutHyperSQL -> PostgreSQL,0.008583690987124463,2,115; 20,X = HyperSQL; Y = PostgreSQL,X -> InY & OutX -> Y -v X -v Y
HyperSQL -> InIBM_DB2 & OutHyperSQL -> IBM_DB2,0.004291845493562232,1,48,X = HyperSQL; Y = IBM_DB2,X -> InY & OutX -> Y -v X -v Y
HyperSQL -> InMySQL & OutHyperSQL -> MySQL,0.004291845493562232,1,115,X = HyperSQL; Y = MySQL,X -> InY & OutX -> Y -v X -v Y
HyperSQL -> InOracle & OutHyperSQL -> Oracle,0.004291845493562232,1,48,X = HyperSQL; Y = Oracle,X -> InY & OutX -> Y -v X -v Y
HyperSQL -> InH2 & OutHyperSQL -> H2,0.008583690987124463,2,3; 20,X = HyperSQL; Y = H2,X -> InY & OutX -> Y -v X -v Y
Oracle -> InMS_SQL_Server & OutOracle -> MS_SQL_Server,0.004291845493562232,1,92,X = Oracle; Y = MS_SQL_Server,X -> InY & OutX -> Y -v X -v Y
H2 -> InHyperSQL & OutH2 -> HyperSQL,0.004291845493562232,1,219,X = H2; Y = HyperSQL,X -> InY & OutX -> Y -v X -v Y
PostgreSQL -> InRedis & OutPostgreSQL -> Redis,0.008583690987124463,2,74; 76,X = PostgreSQL; Y = Redis,X -> InY & OutX -> Y -v X -v Y
MySQL -> InRedis & OutMySQL -> Redis,0.004291845493562232,1,74,X = MySQL; Y = Redis,X -> InY & OutX -> Y -v X -v Y
H2 -> InRedis & OutH2 -> Redis,0.004291845493562232,1,205,X = H2; Y = Redis,X -> InY & OutX -> Y -v X -v Y
Hazelcast -> InRedis & OutHazelcast -> Redis,0.004291845493562232,1,219,X = Hazelcast; Y = Redis,X -> InY & OutX -> Y -v X -v Y
GoogleCloudDatastore -> InRedis & OutGoogleCloudDatastore -> Redis,0.004291845493562232,1,212,X = GoogleCloudDatastore; Y = Redis,X -> InY & OutX -> Y -v X -v Y
PostgreSQL -> InMongoDB & OutPostgreSQL -> MongoDB,0.004291845493562232,1,76,X = PostgreSQL; Y = MongoDB,X -> InY & OutX -> Y -v X -v Y
