project_id,project_full_name,total_build_failures,affected_versions,affected_heuristics
24,confluentinc/ksql,2456,2456,1
63,prestodb/presto,2372,2372,1
46,jooby-project/jooby,2151,2151,1
13,apache/activemq,2048,2048,1
11,apache/nifi,1990,1990,1
12,apache/struts,1093,1093,1
78,UniversalMediaServer/UniversalMediaServer,958,958,1
32,geotools/geotools,888,888,1
8,apache/drill,867,867,1
26,dbeaver/dbeaver,798,798,1
59,OpenHFT/Chronicle-Queue,747,747,1
50,killbill/killbill,682,682,1
4,Alluxio/alluxio,594,594,1
49,kiegroup/jbpm,590,590,1
72,spring-projects/spring-batch,590,590,1
60,opensourceBIM/BIMserver,568,568,1
14,apache/tinkerpop,565,565,1
69,runelite/runelite,550,550,1
42,JanusGraph/janusgraph,525,525,1
22,BroadleafCommerce/BroadleafCommerce,524,524,1
1,Activiti/Activiti,425,425,1
44,jeremylong/DependencyCheck,415,415,1
61,opentripplanner/OpenTripPlanner,407,407,1
77,undertow-io/undertow,377,377,1
71,spring-projects/spring-data-redis,375,375,1
39,immutables/immutables,319,319,1
31,flyway/flyway,275,275,1
6,apache/shiro,267,267,1
28,eclipse-vertx/vert.x,265,265,1
65,psi-probe/psi-probe,265,265,1
15,apereo/cas,257,257,1
10,apache/skywalking,249,249,1
9,apache/iotdb,224,224,1
43,jenkinsci/gitlab-plugin,202,202,1
5,apache/rocketmq,195,195,1
41,internetarchive/heritrix3,191,191,1
68,redisson/redisson,170,170,1
19,AxonFramework/AxonFramework,169,169,1
76,thingsboard/thingsboard,169,169,1
51,liquibase/liquibase,168,168,1
30,FasterXML/jackson-databind,153,153,1
52,magefree/mage,131,131,1
27,ebean-orm/ebean,117,117,1
66,qos-ch/logback,113,113,1
35,graphhopper/graphhopper,104,104,1
16,asciidocfx/AsciidocFX,94,94,1
54,mitreid-connect/OpenID-Connect-Java-Spring-Server,93,93,1
75,strimzi/strimzi-kafka-operator,83,83,1
40,INRIA/spoon,63,63,1
53,manifold-systems/manifold,62,62,1
34,google/error-prone,58,58,1
81,vsch/flexmark-java,55,55,1
23,checkstyle/checkstyle,36,36,1
73,springdoc/springdoc-openapi,33,33,1
38,iluwatar/java-design-patterns,30,30,1
56,MorphiaOrg/morphia,27,27,1
20,bootique/bootique,25,25,1
37,hcoles/pitest,20,20,1
64,primefaces/primefaces,17,17,1
48,jtablesaw/tablesaw,16,16,1
47,JSQLParser/JSqlParser,13,13,1
70,SpigotMC/BungeeCord,12,12,1
36,haraldk/TwelveMonkeys,7,7,1
57,networknt/light-4j,7,7,1
62,openzipkin/zipkin,7,7,1
7,apache/shardingsphere-elasticjob,6,6,1
18,aws/aws-sdk-java,6,6,1
55,moquette-io/moquette,6,6,1
2,alibaba/nacos,5,5,1
3,alibaba/fastjson,5,5,1
67,raphw/byte-buddy,5,5,1
82,xuxueli/xxl-job,5,5,1
21,brettwooldridge/HikariCP,4,4,1
17,Athou/commafeed,3,3,1
25,cucumber/cucumber-jvm,3,3,1
79,VertaAI/modeldb,1,1,1
80,vipshop/Saturn,1,1,1
