project_id,project_full_name,failure_category,failures,affected_versions
1,Activiti/Activiti,PARENT_POM_NOT_RESOLVED,166,166
1,Activiti/Activiti,BLOCKED_HTTP_REPOSITORY,108,108
1,Activiti/Activiti,OTHER,93,93
1,Activiti/Activiti,ARTIFACT_NOT_FOUND,58,58
2,alibaba/nacos,ARTIFACT_NOT_FOUND,5,5
3,alibaba/fastjson,ARTIFACT_NOT_FOUND,2,2
3,alibaba/fastjson,BLOCKED_HTTP_REPOSITORY,1,1
3,alibaba/fastjson,OTHER,1,1
3,alibaba/fastjson,PARENT_POM_NOT_RESOLVED,1,1
4,Alluxio/alluxio,BLOCKED_HTTP_REPOSITORY,425,425
4,Alluxio/alluxio,ARTIFACT_NOT_FOUND,165,165
4,Alluxio/alluxio,OTHER,4,4
5,apache/rocketmq,DEPENDENCY_RESOLUTION_FAILED,162,162
5,apache/rocketmq,ARTIFACT_NOT_FOUND,33,33
6,apache/shiro,ARTIFACT_NOT_FOUND,130,130
6,apache/shiro,BLOCKED_HTTP_REPOSITORY,106,106
6,apache/shiro,DEPENDENCY_RESOLUTION_FAILED,26,26
6,apache/shiro,OTHER,5,5
7,apache/shardingsphere-elasticjob,ARTIFACT_NOT_FOUND,4,4
7,apache/shardingsphere-elasticjob,OTHER,2,2
8,apache/drill,BLOCKED_HTTP_REPOSITORY,557,557
8,apache/drill,ARTIFACT_NOT_FOUND,161,161
8,apache/drill,MAVEN_GOAL_FAILED,148,148
8,apache/drill,OTHER,1,1
9,apache/iotdb,DEPENDENCY_RESOLUTION_FAILED,118,118
9,apache/iotdb,BLOCKED_HTTP_REPOSITORY,74,74
9,apache/iotdb,ARTIFACT_NOT_FOUND,24,24
9,apache/iotdb,MAVEN_GOAL_FAILED,7,7
9,apache/iotdb,OTHER,1,1
10,apache/skywalking,DEPENDENCY_RESOLUTION_FAILED,194,194
10,apache/skywalking,BLOCKED_HTTP_REPOSITORY,23,23
10,apache/skywalking,ARTIFACT_NOT_FOUND,16,16
10,apache/skywalking,OTHER,14,14
10,apache/skywalking,PARENT_POM_NOT_RESOLVED,2,2
11,apache/nifi,DEPENDENCY_RESOLUTION_FAILED,1239,1239
11,apache/nifi,BLOCKED_HTTP_REPOSITORY,448,448
11,apache/nifi,PLUGIN_RESOLUTION_FAILED,230,230
