failure_category,short_reason,failures,affected_projects
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],2277,43
PARENT_POM_NOT_RESOLVED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],1359,15
OTHER,[DBMINING] BUILD FAILED: dependency:tree,1067,4
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],775,6
OTHER,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] The builder requested using id =  multithreaded cannot be found -> [Help 1] | [ERROR],629,1
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'modelVersion' is missing. @ [unknown-group-id]:[unknown-artifact-id]:[unknown-version] | [ERROR] 'groupId' is missing. @ [unknown-group-id]:[unknown-artifact-id]:[unknown-version],564,2
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @ | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @,422,3
BLOCKED_HTTP_REPOSITORY,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Could not find goal 'tree' in plugin org.codehaus.mojo:dependency-maven-plugin:1.0 among available goals copy-dependencies, copy, unpack-dependencies, unpack -> [Help 1] | [ERROR]",348,2
OTHER,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] Child module /home/cpaiva/repos/runelite/runelite/deobfuscator of /home/cpaiva/repos/runelite/runelite/pom.xml does not exist @,319,1
OTHER,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Internal error: java.lang.RuntimeException: Failed to load p2 repository with ID 'local-contrib' from location https://dbeaver.io/eclipse-repo: No repository found at https://dbeaver.io/eclipse-repo. -> [Help 1] | [ERROR],241,1
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'dependencies.dependency.version' for jdk.tools:jdk.tools:jar is missing. @ | [ERROR] 'dependencies.dependency.systemPath' for jdk.tools:jdk.tools:jar is missing. @,203,2
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @ | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @,200,2
OTHER,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Could not find goal 'tree' in plugin org.codehaus.mojo:dependency-maven-plugin:1.0 among available goals copy-dependencies, copy, unpack-dependencies, unpack -> [Help 1] | [ERROR]",184,2
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project gt-opengis: Could not collect dependencies for project org.geotools:gt-opengis:jar:8-SNAPSHOT | [ERROR] Failed to read artifact descriptor for java3d:vecmath:jar:1.3.2,178,1
MAVEN_GOAL_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:2.7:tree (default-cli) on project presto-root: Execution default-cli of goal org.apache.maven.plugins:maven-dependency-plugin:2.7:tree failed: A required class was missing while executing org.apache.maven.plugins:maven-dependency-plugin:2.7:tree: org/sonatype/aether/version/VersionConstraint | [ERROR] -----------------------------------------------------,151,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.16.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.16.0-SNAPSHOT (compile),145,1
OTHER,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Could not find goal 'tree' in plugin org.apache.maven.plugins:maven-dependency-plugin:2.0-alpha-4 among available goals analyze-dep-mgt, analyze, build-classpath, copy-dependencies, copy, unpack, purge-local-repository, go-offline, resolve, sources, resolve-plugins, unpack-dependencies -> [Help 1] | [ERROR]",143,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project spring-batch-infrastructure: Could not collect dependencies for project org.springframework.batch:spring-batch-infrastructure:jar:3.0.0.BUILD-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.neo4j:neo4j-cypher-dsl:jar:1.9.M04,139,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @ | [ERROR] 'dependencyManagement.dependencies.dependency.systemPath' for com.sun:tools:jar must specify an absolute path but is ${tools.jar} @,128,2
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.17.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.17.0-SNAPSHOT (compile),121,1
OTHER,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Internal error: org.eclipse.tycho.core.ee.UnknownEnvironmentException: Unknown OSGi execution environment: 'JavaSE-21' -> [Help 1] | [ERROR],113,1
OTHER,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Internal error: java.lang.RuntimeException: Could not instantiate required component: com.google.inject.ProvisionException: Unable to provision, see the following errors: | [ERROR]",105,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-legacy: Could not resolve dependencies for project org.apache.activemq:activemq-openwire-legacy:jar:5.16.0-SNAPSHOT | [ERROR] dependency: org.apache.activemq:activemq-client:jar:5.16.0-SNAPSHOT (compile),100,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.18.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.18.0-SNAPSHOT (compile),100,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-legacy: Could not resolve dependencies for project org.apache.activemq:activemq-openwire-legacy:jar:5.17.0-SNAPSHOT | [ERROR] dependency: org.apache.activemq:activemq-client:jar:5.17.0-SNAPSHOT (compile),96,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal org.apache.maven.plugins:maven-dependency-plugin:3.1.1:tree (default-cli) on project nifi-syslog-utils: Cannot build project dependency graph: Could not resolve nor collect following dependencies: [com.github.palindromicity:simple-syslog-5424:jar:0.0.13 (compile)]: Could not resolve dependencies for project org.apache.nifi:nifi-syslog-utils:jar:1.12.0-SNAPSHOT | [ERROR] dependency: com.github.palindromicity:simple-syslog-5424:jar:0.0.13 (compile),95,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project giraph-gremlin: Could not collect dependencies for project com.tinkerpop:giraph-gremlin:jar:3.0.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.giraph:giraph-core:jar:1.0.0,91,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.10.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.10.0-SNAPSHOT (compile),91,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-registry-data-model: Could not resolve dependencies for project org.apache.nifi.registry:nifi-registry-data-model:jar:1.19.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.19.0-SNAPSHOT (compile),89,1
