project_id,project_name,versions_total,versions_with_db,versions_no_db_found,versions_dependency_tree_failed,check_total,is_consistent
1,Activiti,1343,1343,0,0,1343,True
16,AsciidocFX,193,192,1,0,193,True
19,AxonFramework,1010,1009,1,0,1010,True
60,BIMserver,689,645,44,0,689,True
22,BroadleafCommerce,854,618,236,0,854,True
70,BungeeCord,353,352,1,0,353,True
59,Chronicle-Queue,1943,1943,0,0,1943,True
74,CoreNLP,902,116,786,0,902,True
44,DependencyCheck,1578,1577,1,0,1578,True
21,HikariCP,431,430,1,0,431,True
47,JSqlParser,256,255,1,0,256,True
54,OpenID-Connect-Java-Spring-Server,198,198,0,0,198,True
61,OpenTripPlanner,1166,1156,10,0,1166,True
80,Saturn,113,112,1,0,113,True
36,TwelveMonkeys,305,286,19,0,305,True
78,UniversalMediaServer,1604,1603,1,0,1604,True
13,activemq,2184,2183,1,0,2184,True
4,alluxio,803,802,1,0,803,True
18,aws-sdk-java,3941,3940,1,0,3941,True
20,bootique,256,255,1,0,256,True
67,byte-buddy,1430,1428,2,0,1430,True
15,cas,318,257,61,0,318,True
23,checkstyle,3105,3105,0,0,3105,True
17,commafeed,770,769,1,0,770,True
25,cucumber-jvm,1005,859,146,0,1005,True
26,dbeaver,817,816,1,0,817,True
29,docker-maven-plugin,597,597,0,0,597,True
8,drill,990,933,57,0,990,True
27,ebean,1768,1768,0,0,1768,True
34,error-prone,527,526,1,0,527,True
3,fastjson,306,305,1,0,306,True
81,flexmark-java,424,423,1,0,424,True
31,flyway,562,562,0,0,562,True
32,geotools,1273,1272,1,0,1273,True
43,gitlab-plugin,704,704,0,0,704,True
35,graphhopper,435,414,21,0,435,True
33,guice,177,176,1,0,177,True
41,heritrix3,288,287,1,0,288,True
39,immutables,611,611,0,0,611,True
9,iotdb,920,919,1,0,920,True
30,jackson-databind,455,454,1,0,455,True
42,janusgraph,1221,1221,0,0,1221,True
38,java-design-patterns,591,590,1,0,591,True
49,jbpm,867,866,1,0,867,True
45,joda-time,286,260,26,0,286,True
46,jooby,2540,2540,0,0,2540,True
50,killbill,938,938,0,0,938,True
24,ksql,2589,2588,1,0,2589,True
57,light-4j,605,604,1,0,605,True
51,liquibase,1057,1053,4,0,1057,True
66,logback,696,692,4,0,696,True
52,mage,407,406,1,0,407,True
53,manifold,534,534,0,0,534,True
83,maxwell,409,404,5,0,409,True
79,modeldb,437,355,82,0,437,True
55,moquette,176,175,1,0,176,True
56,morphia,1114,1091,23,0,1114,True
2,nacos,348,347,1,0,348,True
11,nifi,2978,2917,61,0,2978,True
58,nutz,132,119,13,0,132,True
37,pitest,395,394,1,0,395,True
63,presto,2509,2508,1,0,2509,True
64,primefaces,1664,1657,7,0,1664,True
65,psi-probe,2885,2885,0,0,2885,True
68,redisson,1267,1266,1,0,1267,True
5,rocketmq,267,266,1,0,267,True
69,runelite,1114,1111,3,0,1114,True
7,shardingsphere-elasticjob,374,373,1,0,374,True
6,shiro,1160,1159,1,0,1160,True
10,skywalking,1127,1039,88,0,1127,True
40,spoon,1062,1062,0,0,1062,True
72,spring-batch,971,969,2,0,971,True
71,spring-data-redis,545,544,1,0,545,True
73,springdoc-openapi,696,694,2,0,696,True
75,strimzi-kafka-operator,801,800,1,0,801,True
12,struts,1367,1367,0,0,1367,True
48,tablesaw,366,366,0,0,366,True
76,thingsboard,473,473,0,0,473,True
14,tinkerpop,875,872,3,0,875,True
77,undertow,655,654,1,0,655,True
28,vert.x,383,382,1,0,383,True
82,xxl-job,238,238,0,0,238,True
62,zipkin,1245,1245,0,0,1245,True
