db,id_database,projects_present,commits_present,first_seen,last_seen,projects_with_exposure,vulnerable_commits,first_vulnerable_seen,last_vulnerable_seen,projects_without_exposure,commits_without_vulnerability,exposure_commit_ratio,exposure_commit_pct,vulnerable_activity_commits
H2,15,38,15639,2009-12-19,2026-01-08,38,15639,2009-12-19,2026-01-08,0,0,1.0,100.0,291974
MySQL,8,28,9759,2008-03-25,2026-01-08,28,8368,2008-03-25,2025-11-25,15,1487,0.8575,85.75,53756
PostgreSQL,27,23,8596,2010-03-22,2026-01-08,22,7063,2010-03-22,2025-11-25,17,1549,0.8217,82.17,36937
HyperSQL,18,20,7962,2010-03-09,2026-01-08,20,5386,2010-03-09,2026-01-06,10,3186,0.6765,67.65,26652
Hazelcast,33,10,4217,2011-06-27,2026-01-05,9,3256,2011-06-27,2025-01-23,3,961,0.7721,77.21,16830
SQLite,5,11,3627,2012-07-24,2026-01-05,10,2616,2012-07-24,2025-12-30,7,1011,0.7213,72.13,45378
MS SQL Server_Microsoft Azure SQL Database,41,14,4392,2017-07-03,2026-01-08,9,2327,2020-11-11,2026-01-05,12,2187,0.5298,52.98,25263
Redis,40,15,5281,2013-06-29,2026-01-08,10,2144,2013-09-25,2025-11-25,14,4942,0.406,40.6,4576
Snowflake,45,3,1487,2019-11-15,2026-01-05,3,1487,2019-11-15,2026-01-05,0,0,1.0,100.0,5959
MongoDB,29,11,3565,2015-11-01,2026-01-06,8,922,2015-11-01,2023-12-13,9,2663,0.2586,25.86,5140
Couchbase,6,1,737,2023-02-03,2025-12-09,1,736,2023-02-03,2024-05-06,1,737,0.9986,99.86,0
Cassandra,7,4,738,2012-04-30,2026-01-07,3,616,2012-04-30,2026-01-07,3,166,0.8347,83.47,6620
Ignite,11,2,344,2021-04-26,2023-11-13,2,344,2021-04-26,2023-11-13,0,0,1.0,100.0,710
Neo4j,1,3,1349,2013-09-10,2025-12-09,1,39,2013-09-10,2014-02-05,3,1310,0.0289,2.89,628
HBase,30,6,1787,2012-04-30,2025-11-14,1,8,2024-10-17,2024-10-18,5,1779,0.0045,0.45,9
Maria DB,17,14,5191,2014-10-24,2026-01-08,0,0,,,14,5191,0.0,0.0,0
DynamoDB,24,4,4961,2014-10-08,2025-12-29,0,0,,,4,4961,0.0,0.0,0
Oracle,28,11,4570,2016-06-14,2026-01-08,0,0,,,11,4570,0.0,0.0,0
IBM DB2,25,4,1586,2021-02-19,2026-01-05,0,0,,,4,1586,0.0,0.0,0
SapHana,47,4,1450,2018-10-24,2026-01-08,0,0,,,4,1450,0.0,0.0,0
Influx DB,39,3,948,2020-02-19,2023-12-01,0,0,,,3,948,0.0,0.0,0
Microsoft Azure CosmosDB,9,1,927,2023-02-03,2025-12-09,0,0,,,1,927,0.0,0.0,0
Firebird,48,2,888,2019-08-15,2026-01-05,0,0,,,2,888,0.0,0.0,0
ClickHouse,10,3,637,2021-12-01,2026-01-08,0,0,,,3,637,0.0,0.0,0
PostGIS,23,1,612,2020-10-22,2025-11-23,0,0,,,1,612,0.0,0.0,0
Microsoft Azure Table Storage,50,2,549,2022-10-26,2025-12-09,0,0,,,2,549,0.0,0.0,0
Informix,2,1,196,2022-05-02,2025-12-30,0,0,,,1,196,0.0,0.0,0
Singlestore,19,3,195,2022-11-11,2026-01-08,0,0,,,3,195,0.0,0.0,0
Etcd,32,1,177,2022-03-02,2026-01-05,0,0,,,1,177,0.0,0.0,0
Firebase Realtime,4,1,94,2024-02-16,2026-01-07,0,0,,,1,94,0.0,0.0,0
GoogleCloudFirestore,26,1,94,2024-02-16,2026-01-07,0,0,,,1,94,0.0,0.0,0
Aerospike,12,0,0,,,0,0,,,0,0,0.0,0.0,0
ArangoDB,20,0,0,,,0,0,,,0,0,0.0,0.0,0
CockroachDB,42,0,0,,,0,0,,,0,0,0.0,0.0,0
CouchDB,14,0,0,,,0,0,,,0,0,0.0,0.0,0
FileMaker,13,0,0,,,0,0,,,0,0,0.0,0.0,0
Google Cloud Datastore,37,0,0,,,0,0,,,0,0,0.0,0.0,0
Impala,3,0,0,,,0,0,,,0,0,0.0,0.0,0
Ingres,35,0,0,,,0,0,,,0,0,0.0,0.0,0
Interbase,46,0,0,,,0,0,,,0,0,0.0,0.0,0
Kdb+,36,0,0,,,0,0,,,0,0,0.0,0.0,0
MS Access,38,0,0,,,0,0,,,0,0,0.0,0.0,0
MarkLogic,21,0,0,,,0,0,,,0,0,0.0,0.0,0
Realm,31,0,0,,,0,0,,,0,0,0.0,0.0,0
Riak KV,44,0,0,,,0,0,,,0,0,0.0,0.0,0
SAP Adaptive Server,49,0,0,,,0,0,,,0,0,0.0,0.0,0
SAP SQL Anywhere,34,0,0,,,0,0,,,0,0,0.0,0.0,0
Teradata,43,0,0,,,0,0,,,0,0,0.0,0.0,0
Vertica,22,0,0,,,0,0,,,0,0,0.0,0.0,0
Virtuoso,16,0,0,,,0,0,,,0,0,0.0,0.0,0
