project_id,project,file,db,distinct_versions,first_commit,last_commit,total_commits_observed,total_rows
1,Activiti,activiti-api-basic-connector-example,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-basic-connector-examples,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-api-basic-full-example,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-api-basic-full-example-bean,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-basic-full-example-custombean,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-api-basic-full-example-nobean,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-basic-process-example,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-basic-process-examples,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-api-basic-task-example,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-basic-task-examples,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-api-spring-integration-example,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-api-web-example,H2,4,2020-01-20,2026-01-08,351,351
1,Activiti,activiti-api-web-examples,H2,1,2019-12-04,2020-01-19,14,14
1,Activiti,activiti-bpmn-converter,H2,11,2012-12-21,2026-01-08,643,643
1,Activiti,activiti-coverage,H2,2,2025-01-15,2025-07-31,61,61
1,Activiti,activiti-engine,H2,12,2010-10-04,2026-01-08,918,918
1,Activiti,activiti-image-generator,H2,7,2017-11-02,2026-01-08,371,371
1,Activiti,activiti-spring,H2,7,2017-11-02,2026-01-08,371,371
1,Activiti,activiti-spring-boot-starter,H2,5,2018-08-09,2026-01-08,366,366
1,Activiti,activiti-spring-conformance-set0,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-set1,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-set2,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-set3,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-set4,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-set5,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-signals,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-util,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-spring-conformance-variables,H2,4,2019-12-04,2026-01-08,365,365
1,Activiti,activiti-engine,MySQL,4,2010-11-29,2017-05-30,486,486
1,Activiti,activiti-engine,PostgreSQL,10,2010-11-29,2026-01-08,666,666
19,AxonFramework,axon-configuration,HyperSQL,4,2018-10-16,2025-09-28,497,497
19,AxonFramework,axon-configuration-jakarta,HyperSQL,1,2022-08-15,2022-09-19,27,27
19,AxonFramework,axon-core,HyperSQL,5,2010-03-19,2018-07-03,238,238
19,AxonFramework,axon-eventsourcing,HyperSQL,4,2018-10-16,2026-01-07,564,564
19,AxonFramework,axon-eventsourcing-jakarta,HyperSQL,1,2022-08-15,2022-09-19,27,27
19,AxonFramework,axon-hibernate-6-integrationtests,HyperSQL,2,2023-01-27,2023-11-03,4,4
19,AxonFramework,axon-integrationtests,HyperSQL,6,2010-07-19,2026-01-07,774,774
19,AxonFramework,axon-integrationtests-jakarta,HyperSQL,1,2022-08-15,2022-09-19,27,27
19,AxonFramework,axon-jpa,HyperSQL,1,2010-03-09,2010-03-17,2,2
19,AxonFramework,axon-legacy-aggregate,HyperSQL,1,2025-09-28,2026-01-07,71,71
19,AxonFramework,axon-legacy-saga,HyperSQL,1,2025-09-28,2026-01-07,68,68
19,AxonFramework,axon-messaging,HyperSQL,4,2018-10-16,2026-01-07,564,564
19,AxonFramework,axon-messaging-jakarta,HyperSQL,1,2022-08-15,2022-09-19,27,27
19,AxonFramework,axon-modelling,HyperSQL,4,2018-10-16,2026-01-07,564,564
19,AxonFramework,axon-modelling-jakarta,HyperSQL,1,2022-08-15,2022-09-19,27,27
19,AxonFramework,axon-quickstart,HyperSQL,2,2016-05-30,2016-11-11,31,31
19,AxonFramework,axon-spring,HyperSQL,5,2016-01-08,2026-01-07,604,604
19,AxonFramework,axon-spring-boot-3-integrationtests,HyperSQL,2,2023-01-27,2023-11-03,4,4
19,AxonFramework,axon-spring-boot-autoconfigure,HyperSQL,5,2017-12-01,2026-01-07,567,567
