db,projects_affected,vulnerable_commits,vulnerable_versions,vulnerability_occurrences,projects_using_db,commits_using_db,exposure_project_ratio,exposure_commit_ratio,exposure_project_percent,exposure_commit_percent,projects_exposure_label,commits_exposure_label
H2,38,298517,53,150,38,15721,1.0,18.988423128299726,100.0,1898.84,38/38,298517/15721
PostgreSQL,23,110822,73,414,23,8596,1.0,12.89227547696603,100.0,1289.23,23/23,110822/8596
MySQL,28,106714,57,334,28,9785,1.0,10.905876341338784,100.0,1090.59,28/28,106714/9785
Snowflake,3,43986,40,166,3,1487,1.0,29.580363147276394,100.0,2958.04,3/3,43986/1487
Redis,12,32667,312,312,15,5409,0.8,6.039378813089296,80.0,603.94,12/15,32667/5409
HyperSQL,20,22370,17,17,20,7984,1.0,2.8018537074148298,100.0,280.19,20/20,22370/7984
Hazelcast,9,19849,37,178,10,4218,0.9,4.705784732100522,90.0,470.58,9/10,19849/4218
MS SQL Server_Microsoft Azure SQL Database,9,9179,25,25,14,4392,0.6428571428571429,2.089936247723133,64.29,208.99,9/14,9179/4392
SQLite,10,6344,22,22,11,3627,0.9090909090909091,1.7491039426523298,90.91,174.91,10/11,6344/3627
Cassandra,3,4158,13,36,4,744,0.75,5.588709677419355,75.0,558.87,3/4,4158/744
Couchbase,1,3139,3,6,1,737,1.0,4.259158751696065,100.0,425.92,1/1,3139/737
Ignite,2,1964,3,7,2,344,1.0,5.709302325581396,100.0,570.93,2/2,1964/344
MongoDB,8,1395,13,14,11,3565,0.7272727272727273,0.391304347826087,72.73,39.13,8/11,1395/3565
Neo4j,1,156,1,4,3,1349,0.3333333333333333,0.1156412157153447,33.33,11.56,1/3,156/1349
HBase,1,8,1,1,6,1790,0.16666666666666666,0.004469273743016759,16.67,0.45,1/6,8/1790
