project_id,project,dbms_affected,vulnerable_versions,vulnerability_occurrences
51,liquibase,7,85,2257
68,redisson,2,122,2158
50,killbill,4,41,2107
27,ebean,7,53,744
52,mage,2,9,598
63,presto,5,9,569
10,skywalking,5,19,516
11,nifi,8,39,484
32,geotools,6,24,415
49,jbpm,3,15,368
19,AxonFramework,4,49,309
1,Activiti,3,21,307
31,flyway,8,48,227
76,thingsboard,5,19,224
7,shardingsphere-elasticjob,2,4,202
70,BungeeCord,2,23,201
2,nacos,1,6,187
9,iotdb,1,5,160
17,commafeed,4,45,153
38,java-design-patterns,3,11,108
46,jooby,3,11,100
44,DependencyCheck,2,9,95
6,shiro,2,13,89
82,xxl-job,1,13,87
58,nutz,4,21,85
55,moquette,2,7,81
72,spring-batch,7,32,80
64,primefaces,2,21,79
57,light-4j,3,18,64
14,tinkerpop,2,2,53
21,HikariCP,3,16,47
80,Saturn,2,2,44
79,modeldb,3,12,43
43,gitlab-plugin,1,18,43
62,zipkin,1,2,35
83,maxwell,2,6,33
42,janusgraph,1,7,32
48,tablesaw,1,8,23
73,springdoc-openapi,1,5,22
56,morphia,1,7,21
77,undertow,1,5,19
53,manifold,5,7,16
66,logback,4,4,14
25,cucumber-jvm,2,6,12
28,vert.x,1,3,12
67,byte-buddy,2,2,11
47,JSqlParser,1,4,10
69,runelite,3,3,8
78,UniversalMediaServer,1,6,8
39,immutables,2,2,6
60,BIMserver,1,2,6
8,drill,3,4,5
22,BroadleafCommerce,1,2,5
59,Chronicle-Queue,1,5,5
54,OpenID-Connect-Java-Spring-Server,1,2,3
3,fastjson,1,1,3
37,pitest,1,1,2
71,spring-data-redis,1,2,2
61,OpenTripPlanner,1,1,1
33,guice,1,1,1
41,heritrix3,1,1,1
