db,pre_disclosure,post_disclosure,post_resolution,total
HBase,0.0,0.0,9.0,9.0
Neo4j,628.0,0.0,0.0,628.0
Ignite,399.0,0.0,311.0,710.0
Cassandra,2120.0,0.0,0.0,2120.0
Couchbase,0.0,0.0,3166.0,3166.0
MongoDB,2878.0,0.0,1974.0,4852.0
Snowflake,5704.0,0.0,104.0,5808.0
MS SQL Server_Microsoft Azure SQL Database,5795.0,0.0,28.0,5823.0
Hazelcast,13262.0,0.0,3192.0,16454.0
HyperSQL,23866.0,55.0,1396.0,25317.0
Redis,13157.0,0.0,12220.0,25377.0
SQLite,35565.0,0.0,10143.0,45708.0
MySQL,24528.0,426.0,26492.0,51446.0
PostgreSQL,45021.0,16.0,8097.0,53134.0
H2,49604.0,9931.0,151873.0,211408.0
