project_id,project,db,post_disclosure,post_resolution,pre_disclosure,total_activity_commits
1,Activiti,H2,30,196,4639,4865
1,Activiti,MySQL,0,769,2528,3297
1,Activiti,PostgreSQL,0,3,4414,4417
2,nacos,MySQL,31,1430,857,2318
6,shiro,Hazelcast,0,90,451,541
6,shiro,HyperSQL,1,58,255,314
7,shardingsphere-elasticjob,H2,0,755,661,1416
7,shardingsphere-elasticjob,MySQL,37,1928,0,1965
8,drill,MS SQL Server_Microsoft Azure SQL Database,0,5,106,111
8,drill,MySQL,1,98,0,99
8,drill,PostgreSQL,0,0,111,111
9,iotdb,H2,0,9033,400,9433
10,skywalking,H2,970,1914,2145,5029
10,skywalking,MySQL,0,1900,1525,3425
10,skywalking,PostgreSQL,0,2237,1496,3733
10,skywalking,Redis,0,0,1479,1479
11,nifi,Couchbase,0,3166,0,3166
11,nifi,H2,0,1089,0,1089
11,nifi,Hazelcast,0,27,846,873
11,nifi,Ignite,0,311,0,311
11,nifi,MySQL,40,54,811,905
11,nifi,PostgreSQL,0,0,3166,3166
11,nifi,Redis,0,2727,374,3101
11,nifi,Snowflake,0,2,2734,2736
14,tinkerpop,H2,0,2711,1169,3880
14,tinkerpop,Neo4j,0,0,628,628
17,commafeed,H2,168,270,484,922
17,commafeed,MySQL,0,122,648,770
17,commafeed,PostgreSQL,0,34,1352,1386
17,commafeed,Redis,0,0,543,543
19,AxonFramework,HyperSQL,0,53,2942,2995
19,AxonFramework,MySQL,42,1022,1943,3007
19,AxonFramework,PostgreSQL,0,189,2097,2286
21,HikariCP,H2,47,191,420,658
21,HikariCP,HyperSQL,0,0,285,285
21,HikariCP,PostgreSQL,0,183,292,475
22,BroadleafCommerce,HyperSQL,0,12,2421,2433
25,cucumber-jvm,H2,119,418,69,606
25,cucumber-jvm,HyperSQL,10,8,325,343
27,ebean,H2,590,1830,3479,5899
27,ebean,HyperSQL,0,0,4348,4348
27,ebean,MS SQL Server_Microsoft Azure SQL Database,0,18,1456,1474
27,ebean,MySQL,102,2090,3676,5868
27,ebean,PostgreSQL,11,1580,4277,5868
27,ebean,Redis,0,0,651,651
27,ebean,SQLite,0,12,5158,5170
28,vert.x,Hazelcast,0,0,287,287
31,flyway,H2,130,14,968,1112
31,flyway,HyperSQL,2,1,1078,1081
31,flyway,Ignite,0,0,399,399
31,flyway,MS SQL Server_Microsoft Azure SQL Database,0,0,510,510
31,flyway,MySQL,49,203,498,750
31,flyway,PostgreSQL,5,108,1006,1119
31,flyway,SQLite,0,2,1104,1106
31,flyway,Snowflake,0,2,750,752
32,geotools,H2,0,1570,0,1570
32,geotools,HyperSQL,0,318,674,992
32,geotools,MS SQL Server_Microsoft Azure SQL Database,0,5,1325,1330
32,geotools,MongoDB,0,213,256,469
32,geotools,MySQL,6,597,699,1302
32,geotools,PostgreSQL,0,59,1511,1570
32,geotools,SQLite,0,318,674,992
33,guice,HyperSQL,0,129,821,950
37,pitest,Hazelcast,0,0,71,71
38,java-design-patterns,H2,151,1696,996,2843
38,java-design-patterns,HyperSQL,22,100,1245,1367
38,java-design-patterns,MongoDB,0,333,1006,1339
39,immutables,H2,0,0,162,162
41,heritrix3,HBase,0,9,0,9
42,janusgraph,Cassandra,0,0,223,223
43,gitlab-plugin,PostgreSQL,0,94,592,686
44,DependencyCheck,H2,387,846,3964,5197
44,DependencyCheck,Hazelcast,0,2492,2658,5150
46,jooby,H2,1568,109,776,2453
46,jooby,Hazelcast,0,0,385,385
46,jooby,MySQL,0,450,2631,3081
46,jooby,Redis,0,10,1324,1334
47,JSqlParser,H2,36,314,205,555
48,tablesaw,H2,351,276,1028,1655
49,jbpm,H2,150,847,3126,4123
49,jbpm,MySQL,0,578,71,649
49,jbpm,PostgreSQL,0,215,434,649
50,killbill,H2,32,468,1790,2290
50,killbill,MySQL,0,1222,1683,2905
50,killbill,PostgreSQL,0,429,871,1300
50,killbill,Redis,0,128,315,443
51,liquibase,H2,518,354,802,1674
51,liquibase,HyperSQL,20,16,2560,2596
51,liquibase,MS SQL Server_Microsoft Azure SQL Database,0,0,1602,1602
51,liquibase,MySQL,32,1355,1263,2650
51,liquibase,PostgreSQL,0,596,2365,2961
51,liquibase,SQLite,0,25,1196,1221
51,liquibase,Snowflake,0,100,2220,2320
52,mage,H2,1996,21115,8295,31406
52,mage,SQLite,0,9266,25589,34855
53,manifold,H2,1,259,0,260
53,manifold,MS SQL Server_Microsoft Azure SQL Database,0,0,2,2
53,manifold,MySQL,0,0,9,9
53,manifold,PostgreSQL,0,0,9,9
53,manifold,SQLite,0,323,0,323
54,OpenID-Connect-Java-Spring-Server,HyperSQL,0,0,771,771
55,moquette,H2,35,89,338,462
55,moquette,Hazelcast,0,0,159,159
56,morphia,MongoDB,0,0,324,324
57,light-4j,H2,381,561,263,1205
57,light-4j,MySQL,18,1182,358,1558
57,light-4j,PostgreSQL,0,629,1007,1636
58,nutz,H2,75,183,2565,2823
58,nutz,MySQL,0,726,1140,1866
58,nutz,PostgreSQL,0,258,1814,2072
58,nutz,SQLite,0,17,858,875
59,Chronicle-Queue,HyperSQL,0,13,3510,3523
60,BIMserver,SQLite,0,120,223,343
61,OpenTripPlanner,HyperSQL,0,231,588,819
62,zipkin,MySQL,0,0,52,52
63,presto,Cassandra,0,0,600,600
63,presto,H2,0,100422,1002,101424
63,presto,MySQL,0,2369,355,2724
63,presto,PostgreSQL,0,521,12738,13259
63,presto,Redis,0,6011,0,6011
64,primefaces,Hazelcast,0,583,8349,8932
64,primefaces,HyperSQL,0,0,411,411
66,logback,H2,0,265,1172,1437
66,logback,HyperSQL,0,0,380,380
66,logback,MySQL,0,643,793,1436
66,logback,PostgreSQL,0,265,1177,1442
68,redisson,H2,492,644,1797,2933
68,redisson,Redis,0,2118,4864,6982
69,runelite,H2,0,2166,0,2166
69,runelite,MongoDB,0,874,1292,2166
69,runelite,MySQL,0,3698,0,3698
70,BungeeCord,MySQL,4,443,1241,1688
70,BungeeCord,SQLite,0,0,181,181
71,spring-data-redis,Redis,0,262,1314,1576
72,spring-batch,H2,160,24,2316,2500
72,spring-batch,HyperSQL,0,457,1,458
72,spring-batch,MongoDB,0,554,0,554
72,spring-batch,MySQL,14,18,963,995
72,spring-batch,PostgreSQL,0,19,856,875
72,spring-batch,Redis,0,101,0,101
72,spring-batch,SQLite,0,60,582,642
73,springdoc-openapi,H2,97,157,1006,1260
76,thingsboard,Cassandra,0,0,1297,1297
76,thingsboard,Hazelcast,0,0,56,56
76,thingsboard,HyperSQL,0,0,1251,1251
76,thingsboard,PostgreSQL,0,676,3139,3815
76,thingsboard,Redis,0,752,1914,2666
77,undertow,H2,187,431,2493,3111
78,UniversalMediaServer,H2,441,474,213,1128
79,modeldb,H2,311,36,143,490
79,modeldb,MS SQL Server_Microsoft Azure SQL Database,0,0,794,794
79,modeldb,PostgreSQL,0,2,297,299
80,Saturn,H2,508,146,718,1372
80,Saturn,MySQL,0,1512,0,1512
82,xxl-job,MySQL,0,1190,324,1514
83,maxwell,MySQL,50,893,460,1403
83,maxwell,Redis,0,111,379,490
