db,period,raw_rows,raw_files,raw_unique_commits,raw_commits_between_sum,dedup_rows,dedup_unique_commits,dedup_commits_between_sum
Cassandra,before_publication,7675,17,608,105926,516.0,505.0,5939.0
Cassandra,known_vulnerability,1301,13,117,5701,119.0,117.0,714.0
Couchbase,known_vulnerability,5911,4,736,0,762.0,736.0,0.0
H2,after_resolution,98196,353,2740,4443150,,,
H2,before_publication,438053,425,8874,6692854,3537.0,3375.0,34384.0
H2,known_vulnerability,412774,474,12346,9188254,14398.0,12346.0,113092.0
HBase,known_vulnerability,8,1,8,9,8.0,8.0,9.0
Hazelcast,after_resolution,423,1,231,982,,,
Hazelcast,before_publication,52038,27,2917,240486,2897.0,2884.0,16030.0
Hazelcast,known_vulnerability,1548,7,368,3271,368.0,368.0,794.0
HyperSQL,after_resolution,239,29,123,1138,123.0,123.0,561.0
HyperSQL,before_publication,21115,132,4425,89898,4601.0,4425.0,21563.0
HyperSQL,known_vulnerability,73,18,21,269,21.0,21.0,55.0
Ignite,after_resolution,1440,2,180,2488,,,
Ignite,before_publication,164,2,164,399,164.0,164.0,399.0
Ignite,known_vulnerability,5760,2,180,9952,180.0,180.0,311.0
MSSQL/MicrosoftAzure,before_publication,6017,46,800,33547,800.0,800.0,8100.0
MSSQL/MicrosoftAzure,known_vulnerability,89,15,46,3788,46.0,46.0,2624.0
MongoDB,before_publication,1176,13,609,5086,757.0,609.0,3603.0
MongoDB,known_vulnerability,633,13,313,3481,395.0,313.0,2096.0
MySQL,after_resolution,26763,143,2436,226805,149.0,149.0,586.0
MySQL,before_publication,458703,154,7451,3105415,4717.0,4404.0,22736.0
MySQL,known_vulnerability,152153,157,3873,1238514,4660.0,3873.0,26473.0
Neo4j,before_publication,312,1,39,5024,39.0,39.0,628.0
PostgreSQL,after_resolution,3681,43,268,17331,,,
PostgreSQL,before_publication,364061,91,6921,2182584,5800.0,5600.0,26578.0
PostgreSQL,known_vulnerability,38984,84,1785,252567,2079.0,1785.0,10317.0
Redis,before_publication,5318,79,1030,23548,1058.0,1030.0,3626.0
Redis,known_vulnerability,3164,36,550,2170,550.0,550.0,104.0
SQLite,before_publication,6039,56,2455,146051,2455.0,2455.0,34799.0
SQLite,known_vulnerability,305,11,161,28606,161.0,161.0,9778.0
Snowflake,before_publication,221483,18,1487,833267,1501.0,1468.0,5828.0
Snowflake,known_vulnerability,787,16,19,3218,30.0,19.0,127.0
