db,project_id,post_disclosure_days
Cassandra,42,0.0
Cassandra,63,0.0
Cassandra,76,0.0
Couchbase,11,459.0
H2,1,2222.0
H2,10,1856.0
H2,11,963.0
H2,14,1358.0
H2,17,2513.0
H2,21,2428.0
H2,25,1574.0
H2,27,2672.0
H2,3,0.0
H2,31,1836.0
H2,32,2065.0
H2,38,2484.0
H2,39,0.0
H2,44,2369.0
H2,46,102.0
H2,47,1742.0
H2,48,2187.0
H2,49,1705.0
H2,50,2083.0
H2,51,2138.0
H2,52,2630.0
H2,53,503.0
H2,55,1612.0
H2,57,2556.0
H2,58,2578.0
H2,63,504.0
H2,66,1333.0
H2,68,2544.0
H2,69,680.0
H2,7,2597.0
H2,72,1013.0
H2,73,2027.0
H2,77,2642.0
H2,78,1326.0
H2,79,606.0
H2,8,748.0
H2,80,735.0
H2,9,1608.0
HBase,41,2.0
Hazelcast,11,101.0
Hazelcast,28,0.0
Hazelcast,37,0.0
Hazelcast,44,2073.0
Hazelcast,46,0.0
Hazelcast,55,0.0
Hazelcast,6,1345.0
Hazelcast,64,1472.0
Hazelcast,76,0.0
HyperSQL,19,393.0
HyperSQL,21,0.0
HyperSQL,22,90.0
HyperSQL,25,26.0
HyperSQL,27,0.0
HyperSQL,31,14.0
HyperSQL,32,0.0
HyperSQL,33,883.0
HyperSQL,38,45.0
HyperSQL,51,25.0
HyperSQL,54,0.0
HyperSQL,59,0.0
HyperSQL,6,111.0
HyperSQL,61,105.0
HyperSQL,64,0.0
HyperSQL,66,0.0
HyperSQL,67,0.0
HyperSQL,72,0.0
HyperSQL,76,0.0
Ignite,11,110.0
Ignite,31,0.0
MSSQL/MicrosoftAzure,27,38.0
MSSQL/MicrosoftAzure,31,0.0
MSSQL/MicrosoftAzure,32,0.0
MSSQL/MicrosoftAzure,51,0.0
MSSQL/MicrosoftAzure,53,0.0
MSSQL/MicrosoftAzure,79,0.0
MSSQL/MicrosoftAzure,8,22.0
MongoDB,32,192.0
MongoDB,38,236.0
MongoDB,56,0.0
MongoDB,69,301.0
MongoDB,72,96.0
MySQL,1,775.0
MySQL,10,1383.0
MySQL,11,17.0
MySQL,17,2705.0
MySQL,19,2594.0
MySQL,2,2167.0
MySQL,27,3822.0
MySQL,31,1134.0
MySQL,32,1152.0
MySQL,46,1007.0
MySQL,49,1709.0
MySQL,50,3743.0
MySQL,51,1827.0
MySQL,53,1.0
MySQL,57,2344.0
MySQL,58,3146.0
MySQL,62,0.0
MySQL,63,218.0
MySQL,66,2528.0
MySQL,67,0.0
MySQL,69,1264.0
MySQL,7,1440.0
MySQL,70,2399.0
MySQL,72,303.0
MySQL,8,648.0
MySQL,80,1206.0
MySQL,82,1734.0
MySQL,83,3600.0
Neo4j,14,0.0
PostgreSQL,1,814.0
PostgreSQL,10,2168.0
PostgreSQL,11,466.0
PostgreSQL,17,1917.0
PostgreSQL,19,1877.0
PostgreSQL,2,0.0
PostgreSQL,21,2463.0
PostgreSQL,27,2629.0
PostgreSQL,31,1841.0
PostgreSQL,32,1510.0
PostgreSQL,43,2223.0
PostgreSQL,49,1433.0
PostgreSQL,50,1968.0
PostgreSQL,51,1989.0
PostgreSQL,53,0.0
PostgreSQL,57,2463.0
PostgreSQL,58,2541.0
PostgreSQL,63,435.0
PostgreSQL,66,1296.0
PostgreSQL,72,507.0
PostgreSQL,76,1896.0
PostgreSQL,79,266.0
PostgreSQL,8,0.0
Redis,10,0.0
Redis,11,511.0
Redis,17,0.0
Redis,27,0.0
Redis,46,0.0
Redis,50,783.0
Redis,63,79.0
Redis,68,824.0
Redis,71,404.0
Redis,72,135.0
Redis,76,194.0
Redis,83,694.0
SQLite,27,0.0
SQLite,31,0.0
SQLite,32,0.0
SQLite,51,0.0
SQLite,52,867.0
SQLite,53,440.0
SQLite,58,814.0
SQLite,60,951.0
SQLite,70,0.0
SQLite,72,44.0
Snowflake,11,175.0
Snowflake,31,201.0
Snowflake,51,971.0
