db,project_id,total_exposure_days,post_disclosure_days,post_resolution_days
Cassandra,42,118,0.0,0.0
Cassandra,63,153,0.0,0.0
Cassandra,76,52,0.0,0.0
Couchbase,11,459,459.0,459.0
H2,1,4730,2222.0,2221.0
H2,10,2589,1856.0,1643.0
H2,11,963,963.0,963.0
H2,14,3079,1358.0,1145.0
H2,17,3690,2513.0,2300.0
H2,21,3177,2428.0,2215.0
H2,25,1574,1574.0,1574.0
H2,27,4791,2672.0,2461.0
H2,3,1,0.0,0.0
H2,31,2090,1836.0,1634.0
H2,32,2065,2065.0,2065.0
H2,38,3606,2484.0,2271.0
H2,39,105,0.0,0.0
H2,44,3116,2369.0,2156.0
H2,46,832,102.0,72.0
H2,47,1742,1742.0,1742.0
H2,48,2705,2187.0,1974.0
H2,49,2341,1705.0,1492.0
H2,50,3552,2083.0,2083.0
H2,51,2138,2138.0,2138.0
H2,52,4015,2630.0,2418.0
H2,53,503,503.0,503.0
H2,55,2078,1612.0,1612.0
H2,57,2594,2556.0,2381.0
H2,58,4783,2578.0,2365.0
H2,63,837,504.0,504.0
H2,66,4379,1333.0,1120.0
H2,68,2544,2544.0,2483.0
H2,69,680,680.0,680.0
H2,7,3309,2597.0,2384.0
H2,72,2172,1013.0,1013.0
H2,73,2027,2027.0,2027.0
H2,77,4318,2642.0,2429.0
H2,78,1326,1326.0,1326.0
H2,79,606,606.0,606.0
H2,8,748,748.0,748.0
H2,80,1107,735.0,522.0
H2,9,1608,1608.0,1608.0
HBase,41,2,2.0,2.0
Hazelcast,11,267,101.0,121.0
Hazelcast,28,180,0.0,0.0
Hazelcast,37,71,0.0,0.0
Hazelcast,44,4181,2073.0,2284.0
Hazelcast,46,349,0.0,0.0
Hazelcast,55,399,0.0,0.0
Hazelcast,6,2269,1345.0,1556.0
Hazelcast,64,3454,1472.0,1681.0
Hazelcast,76,52,0.0,0.0
HyperSQL,19,4654,393.0,377.0
HyperSQL,21,125,0.0,0.0
HyperSQL,22,198,90.0,74.0
HyperSQL,25,419,26.0,10.0
HyperSQL,27,3264,0.0,0.0
HyperSQL,31,1788,14.0,0.0
HyperSQL,32,729,0.0,0.0
HyperSQL,33,5252,883.0,867.0
HyperSQL,38,2628,45.0,29.0
HyperSQL,51,1486,25.0,9.0
HyperSQL,54,2814,0.0,0.0
HyperSQL,59,2155,0.0,0.0
HyperSQL,6,1323,111.0,95.0
HyperSQL,61,1002,105.0,89.0
HyperSQL,64,104,0.0,0.0
HyperSQL,66,1829,0.0,0.0
HyperSQL,67,1,0.0,0.0
HyperSQL,72,1,0.0,0.0
HyperSQL,76,553,0.0,0.0
Ignite,11,110,110.0,110.0
Ignite,31,909,0.0,0.0
MSSQL/MicrosoftAzure,27,1521,38.0,40.0
MSSQL/MicrosoftAzure,31,1076,0.0,0.0
MSSQL/MicrosoftAzure,32,1796,0.0,2.0
MSSQL/MicrosoftAzure,51,731,0.0,0.0
MSSQL/MicrosoftAzure,53,10,0.0,0.0
MSSQL/MicrosoftAzure,79,696,0.0,0.0
MSSQL/MicrosoftAzure,8,747,22.0,24.0
MongoDB,32,475,192.0,200.0
MongoDB,38,2180,236.0,244.0
MongoDB,56,255,0.0,0.0
MongoDB,69,680,301.0,309.0
MongoDB,72,96,96.0,96.0
MySQL,1,2358,775.0,753.0
MySQL,10,1770,1383.0,1452.0
MySQL,11,271,17.0,9.0
MySQL,17,2940,2705.0,2683.0
MySQL,19,4171,2594.0,2572.0
MySQL,2,2167,2167.0,2167.0
MySQL,27,4707,3822.0,3800.0
MySQL,31,1164,1134.0,1154.0
MySQL,32,1152,1152.0,1152.0
MySQL,46,1138,1007.0,991.0
MySQL,49,1709,1709.0,1709.0
MySQL,50,4538,3743.0,3721.0
MySQL,51,1827,1827.0,1827.0
MySQL,53,23,1.0,1.0
MySQL,57,2429,2344.0,2364.0
MySQL,58,3235,3146.0,3146.0
MySQL,62,43,0.0,0.0
MySQL,63,284,218.0,218.0
MySQL,66,4379,2528.0,2506.0
MySQL,67,1,0.0,0.0
MySQL,69,1264,1264.0,1264.0
MySQL,7,1440,1440.0,1440.0
MySQL,70,3104,2399.0,2377.0
MySQL,72,366,303.0,303.0
MySQL,8,648,648.0,643.0
MySQL,80,1206,1206.0,1206.0
MySQL,82,1734,1734.0,1734.0
MySQL,83,3659,3600.0,3578.0
Neo4j,14,149,0.0,0.0
PostgreSQL,1,2892,814.0,814.0
PostgreSQL,10,2485,2168.0,2171.0
PostgreSQL,11,848,466.0,465.0
PostgreSQL,17,3291,1917.0,1920.0
