project_id,project,db,first_seen_in_project,last_seen_in_project,total_exposure_days,pre_disclosure_days,post_disclosure_days,post_resolution_days,disclosure_date_used,disclosure_source,resolution_date_used,was_publicly_known_during_use,used_after_resolution,used_before_disclosure,n_cves,n_files,n_raw_intervals,n_merged_intervals
1,Activiti,H2,2010-10-04,2026-01-08,4730,2508.0,2222.0,2221.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,5,28,266,10
1,Activiti,MySQL,2010-11-29,2017-05-30,2358,1582.0,775.0,753.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,True,9,1,36,3
1,Activiti,PostgreSQL,2010-11-29,2026-01-08,2892,2078.0,814.0,814.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,5,1,11,5
19,AxonFramework,HyperSQL,2010-03-09,2023-11-03,4654,4260.0,393.0,377.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,True,True,True,1,16,39,4
19,AxonFramework,MySQL,2010-03-09,2023-11-17,4171,1576.0,2594.0,2572.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,True,10,10,190,10
19,AxonFramework,PostgreSQL,2014-11-07,2026-01-07,3212,1335.0,1877.0,1877.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,10,5,74,18
60,BIMserver,SQLite,2019-08-29,2025-12-30,2315,1363.0,951.0,955.0,2023-05-23 23:15:09.337,published_at,2023-05-19 10:50:50,True,True,True,1,3,6,2
22,BroadleafCommerce,HyperSQL,2013-08-14,2023-01-04,198,107.0,90.0,74.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,True,True,True,1,3,5,2
70,BungeeCord,MySQL,2013-01-22,2023-12-10,3104,704.0,2399.0,2377.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,True,9,2,232,16
70,BungeeCord,SQLite,2013-05-03,2013-07-08,67,67.0,0.0,0.0,2023-05-23 23:15:09.337,published_at,2023-05-19 10:50:50,False,False,True,1,1,1,1
59,Chronicle-Queue,HyperSQL,2016-04-10,2022-07-14,2155,2155.0,0.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,False,False,True,1,1,5,5
44,DependencyCheck,H2,2013-01-06,2025-01-23,3116,746.0,2369.0,2156.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,5,8,106,7
44,DependencyCheck,Hazelcast,2013-08-14,2025-01-23,4181,2107.0,2073.0,2284.0,2019-05-22 14:29:00.223,published_at,2018-10-23 13:23:32,True,True,True,3,1,3,1
21,HikariCP,H2,2016-04-14,2025-09-13,3177,748.0,2428.0,2215.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,4,1,22,5
21,HikariCP,HyperSQL,2013-10-17,2014-02-18,125,125.0,0.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,False,False,True,1,1,1,1
21,HikariCP,PostgreSQL,2017-09-02,2025-09-13,2818,354.0,2463.0,2466.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,8,1,20,5
47,JSqlParser,H2,2020-11-06,2025-10-24,1742,0.0,1742.0,1742.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,False,5,1,10,3
54,OpenID-Connect-Java-Spring-Server,HyperSQL,2014-08-06,2022-04-19,2814,2814.0,0.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,False,False,True,1,2,3,1
61,OpenTripPlanner,HyperSQL,2020-04-23,2023-01-19,1002,896.0,105.0,89.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,True,True,True,1,1,1,1
80,Saturn,H2,2017-07-18,2020-07-28,1107,371.0,735.0,522.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,3,4,12,1
80,Saturn,MySQL,2017-04-10,2020-07-28,1206,0.0,1206.0,1206.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,False,9,4,36,1
78,UniversalMediaServer,H2,2022-05-24,2026-01-08,1326,0.0,1326.0,1326.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,False,2,1,8,1
67,byte-buddy,HyperSQL,2016-08-19,2016-08-19,1,1.0,0.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,False,False,True,1,4,4,1
67,byte-buddy,MySQL,2015-11-09,2015-11-09,1,1.0,0.0,0.0,2017-04-24 19:59:03.567,published_at,2017-02-14 20:27:59,False,False,True,8,1,8,1
17,commafeed,H2,2014-08-11,2026-01-07,3690,1176.0,2513.0,2300.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,4,2,47,8
17,commafeed,MySQL,2014-08-11,2023-12-17,2940,234.0,2705.0,2683.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,True,10,2,65,7
17,commafeed,PostgreSQL,2014-08-11,2024-09-13,3291,1373.0,1917.0,1920.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,10,2,39,10
17,commafeed,Redis,2013-06-29,2014-08-11,409,409.0,0.0,0.0,2023-10-04 20:15:10.263,published_at,2023-06-05 08:30:59,False,False,True,1,1,3,1
25,cucumber-jvm,H2,2021-09-09,2026-01-01,1574,0.0,1574.0,1574.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,False,5,1,9,2
25,cucumber-jvm,HyperSQL,2021-09-09,2022-11-01,419,392.0,26.0,10.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,True,True,True,1,2,3,1
8,drill,H2,2023-10-21,2025-11-06,748,0.0,748.0,748.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,False,1,3,3,1
8,drill,MS SQL Server_Microsoft Azure SQL Database,2023-10-21,2025-11-05,747,724.0,22.0,24.0,2025-10-14 17:16:07.240,published_at,2025-10-13 00:00:00,True,True,True,1,1,1,1
8,drill,MySQL,2023-10-21,2025-07-29,648,0.0,648.0,643.0,2023-10-17 22:15:15.100,published_at,2023-10-25 08:46:05,True,True,False,1,1,1,1
8,drill,PostgreSQL,2023-10-21,2025-11-06,735,735.0,0.0,0.0,2026-04-29 16:16:25.427,published_at,2026-04-29 00:00:00,False,False,True,1,1,2,2
27,ebean,H2,2012-09-14,2025-11-23,4791,2118.0,2672.0,2461.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,5,63,514,6
27,ebean,HyperSQL,2012-09-14,2021-09-09,3264,3264.0,0.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,False,False,True,1,4,5,3
27,ebean,MS SQL Server_Microsoft Azure SQL Database,2021-09-23,2025-11-23,1521,1482.0,38.0,40.0,2025-10-14 17:16:07.240,published_at,2025-10-13 00:00:00,True,True,True,1,1,3,2
27,ebean,MySQL,2012-09-14,2025-11-23,4707,884.0,3822.0,3800.0,2015-04-16 17:00:07.253,published_at,2015-05-08 10:55:46,True,True,True,10,5,69,6
27,ebean,PostgreSQL,2012-09-14,2025-11-23,4766,2136.0,2629.0,2632.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,7,13,118,9
27,ebean,Redis,2020-12-18,2022-01-28,373,373.0,0.0,0.0,2023-10-04 20:15:10.263,published_at,2023-06-05 08:30:59,False,False,True,1,1,6,4
27,ebean,SQLite,2013-05-01,2023-05-23,3567,3566.0,0.0,4.0,2023-05-23 23:15:09.337,published_at,2023-05-19 10:50:50,False,True,True,1,4,6,4
3,fastjson,H2,2017-05-22,2017-05-22,1,1.0,0.0,0.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,False,False,True,3,1,3,1
31,flyway,H2,2017-11-13,2023-11-13,2090,253.0,1836.0,1634.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,True,5,1,28,8
31,flyway,HyperSQL,2017-11-13,2022-10-20,1788,1773.0,14.0,0.0,2022-10-06 18:17:07.190,published_at,2022-10-22 14:19:43,True,False,True,1,1,6,4
31,flyway,Ignite,2021-04-26,2023-11-13,909,909.0,0.0,0.0,2025-02-14 10:15:09.557,published_at,2025-02-09 17:33:46,False,False,True,1,2,3,3
31,flyway,MS SQL Server_Microsoft Azure SQL Database,2020-11-11,2023-11-13,1076,1076.0,0.0,0.0,2025-10-14 17:16:07.240,published_at,2025-10-13 00:00:00,False,False,True,1,1,4,3
31,flyway,MySQL,2018-09-18,2021-11-30,1164,29.0,1134.0,1154.0,2018-10-17 01:31:27.230,published_at,2018-09-27 09:18:47,True,True,True,6,1,19,2
31,flyway,PostgreSQL,2017-11-13,2023-11-13,2132,290.0,1841.0,1844.0,2018-08-30 13:29:00.377,published_at,2018-08-27 15:43:21,True,True,True,7,2,84,8
31,flyway,SQLite,2017-11-13,2023-05-23,1996,1995.0,0.0,4.0,2023-05-23 23:15:09.337,published_at,2023-05-19 10:50:50,False,True,True,1,1,5,2
31,flyway,Snowflake,2019-11-15,2023-11-13,1369,1168.0,201.0,219.0,2023-04-14 20:15:09.963,published_at,2023-03-17 21:24:53,True,True,True,6,1,41,5
32,geotools,H2,2020-05-06,2025-12-30,2065,0.0,2065.0,2065.0,2018-07-24 13:29:00.603,published_at,2019-02-22 14:41:59,True,True,False,4,10,30,1
