db,projects_affected,total_cves,median_total_exposure_days,mean_total_exposure_days,median_post_disclosure_days,mean_post_disclosure_days,max_post_disclosure_days
PostgreSQL,23,182,2132.0,2088.9565217391305,1841.0,1465.8260869565217,2629.0
H2,38,154,2155.0,2329.4736842105262,1789.0,1645.7631578947369,2672.0
MySQL,28,220,1721.5,1918.8214285714287,1411.5,1605.392857142857,3822.0
Cassandra,3,15,934.0,998.6666666666666,816.0,863.3333333333334,1774.0
Couchbase,1,4,459.0,459.0,459.0,459.0,459.0
Snowflake,3,17,1268.0,1103.0,201.0,449.0,971.0
MongoDB,8,9,367.5,555.75,155.0,154.0,301.0
Redis,12,16,747.0,1182.25,97.0,284.1666666666667,824.0
Ignite,2,6,509.5,509.5,55.0,55.0,110.0
SQLite,10,10,1362.5,1782.4,22.0,311.6,951.0
HBase,1,1,2.0,2.0,2.0,2.0,2.0
HyperSQL,20,20,1404.5,1588.9,0.0,157.2,1188.0
Hazelcast,9,48,349.0,1269.7777777777778,0.0,437.44444444444446,1567.0
MS SQL Server_Microsoft Azure SQL Database,9,9,1076.0,973.6666666666666,0.0,28.666666666666668,81.0
Neo4j,1,4,149.0,149.0,0.0,0.0,0.0
