db,reference,version,published_at,resolved_at,resolution_time_days
HyperSQL,CVE-2022-41853,1.8.0.10,2022-10-06 18:52:05+00:00,2022-10-22 14:19:43+00:00,15.810856481481482
HyperSQL,CVE-2022-41853,jdk8,2022-10-06 18:52:05+00:00,2022-10-22 14:19:43+00:00,15.810856481481482
PostgreSQL,GHSA-xfg6-62px-cxc2,42.0.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.1.1,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.1.1.jre7,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.1.4,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.1.4.jre6,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.1.4.jre7,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.2,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.2.jre6,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.5,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.5.jre6,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.5.jre7,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.2.8.jre6,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.1,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.2,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.3,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.4,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.5,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.3.6,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.4.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.4.1,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.4.3,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.5.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.5.1,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.5.3,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.5.4,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.6.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.7.0,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,42.7.1,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.3-1102-jdbc4,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.3-1102-jdbc41,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1200-jdbc41,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1201-jdbc4,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1201-jdbc41,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1202-jdbc41,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1205-jdbc42,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1206-jdbc41,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4-1212,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4.1207,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4.1208,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4.1211,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4.1212,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
PostgreSQL,GHSA-xfg6-62px-cxc2,9.4.1212.jre7,2024-02-19 15:30:38+00:00,2024-02-20 15:23:00+00:00,0.9946990740740741
