db,period,project_slices,projects,activity_commits,slices_with_multiple_files,slices_with_multiple_db_versions,slices_with_conflicting_commits_between
Cassandra,pre_disclosure,75,3,833,17,47,45
Couchbase,post_disclosure,736,1,1543,736,736,735
H2,post_disclosure,1455,28,9944,891,44,13
H2,post_resolution,4848,35,150639,3416,1512,189
H2,pre_disclosure,5689,33,50630,2818,171,87
HBase,post_resolution,8,1,9,0,0,0
Hazelcast,post_disclosure,5,1,13,0,0,0
Hazelcast,post_resolution,437,1,939,0,0,0
Hazelcast,pre_disclosure,2649,9,15459,1022,13,16
HyperSQL,post_disclosure,21,5,55,19,0,0
HyperSQL,post_resolution,123,8,561,56,8,1
HyperSQL,pre_disclosure,4571,19,23866,1627,146,26
Ignite,post_resolution,180,1,311,180,0,0
Ignite,pre_disclosure,164,1,399,0,0,0
MSSQL/MicrosoftAzure,post_disclosure,6,2,14,1,1,0
MSSQL/MicrosoftAzure,pre_disclosure,1422,6,4672,777,117,3
MongoDB,post_disclosure,96,1,841,0,0,0
MongoDB,post_resolution,92,3,812,38,46,47
MongoDB,pre_disclosure,467,4,2877,67,45,46
MySQL,post_disclosure,40,11,189,23,0,0
MySQL,post_resolution,2208,24,12667,1021,271,15
MySQL,pre_disclosure,6146,27,37727,2760,577,134
Neo4j,pre_disclosure,39,1,628,0,0,0
PostgreSQL,post_disclosure,9,3,88,9,0,0
PostgreSQL,post_resolution,1173,18,6555,403,280,5
PostgreSQL,pre_disclosure,7359,23,46477,4020,406,128
Redis,post_resolution,929,8,9136,872,832,829
Redis,pre_disclosure,2470,12,15469,1747,1652,1323
SQLite,post_resolution,161,5,9778,76,0,0
SQLite,pre_disclosure,2455,9,35594,684,0,12
Snowflake,post_resolution,19,2,89,19,11,0
Snowflake,pre_disclosure,1468,3,5719,1242,33,3
