project_id,project,db,usage_segment_id,files,n_files,version,interval_start,interval_end,days,period,cves,stop_reason
1,Activiti,H2,1,activiti-engine,1,1.2.132,2010-10-04 00:00:00+00:00,2012-07-24 00:00:00+00:00,659.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,2,activiti-bpmn-converter; activiti-engine; activiti-engine,2,1.3.168,2012-07-24 00:00:00+00:00,2013-02-28 00:00:00+00:00,219.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,3,activiti-bpmn-converter; activiti-engine,2,1.3.170,2013-02-28 00:00:00+00:00,2014-10-20 00:00:00+00:00,599.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,4,activiti-bpmn-converter; activiti-engine,2,1.4.181,2014-10-17 00:00:00+00:00,2014-12-04 00:00:00+00:00,48.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,5,activiti-bpmn-converter; activiti-engine,2,1.3.176,2014-12-04 00:00:00+00:00,2017-11-02 00:00:00+00:00,1064.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,6,activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring,4,1.4.193,2017-11-02 00:00:00+00:00,2018-03-16 00:00:00+00:00,134.0,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,7,activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring,4,1.4.196,2018-03-16 00:00:00+00:00,2018-07-24 13:29:00.603000+00:00,130.56181253472224,pre_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,7,activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring,4,1.4.196,2018-07-24 13:29:00.603000+00:00,2018-08-09 00:00:00+00:00,15.43818746527778,post_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,8,activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter,5,1.4.197,2018-08-09 00:00:00+00:00,2019-02-22 14:41:59+00:00,197.61248842592593,post_disclosure,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,8,activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter,5,1.4.197,2019-02-22 14:41:59+00:00,2019-12-04 00:00:00+00:00,284.3875115740741,post_resolution,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221,version_changed
1,Activiti,H2,9,activiti-api-basic-connector-example; activiti-api-basic-full-example-bean; activiti-api-basic-full-example-nobean; activiti-api-basic-process-example; activiti-api-basic-task-example; activiti-api-spring-integration-example; activiti-api-web-example; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables; activiti-api-basic-connector-examples; activiti-api-basic-full-example; activiti-api-basic-full-example-custombean; activiti-api-basic-process-examples; activiti-api-basic-task-examples; activiti-api-spring-integration-example; activiti-api-web-examples; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables,21,1.4.200,2019-12-04 00:00:00+00:00,2021-11-29 11:00:04+00:00,726.4583796296296,pre_disclosure,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868,version_changed
1,Activiti,H2,9,activiti-api-basic-connector-example; activiti-api-basic-full-example-bean; activiti-api-basic-full-example-nobean; activiti-api-basic-process-example; activiti-api-basic-task-example; activiti-api-spring-integration-example; activiti-api-web-example; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables; activiti-api-basic-connector-examples; activiti-api-basic-full-example; activiti-api-basic-full-example-custombean; activiti-api-basic-process-examples; activiti-api-basic-task-examples; activiti-api-spring-integration-example; activiti-api-web-examples; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables,21,1.4.200,2021-11-29 11:00:04+00:00,2021-12-10 20:15:07.917000+00:00,11.385462002314815,post_resolution,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868,version_changed
1,Activiti,H2,9,activiti-api-basic-connector-example; activiti-api-basic-full-example-bean; activiti-api-basic-full-example-nobean; activiti-api-basic-process-example; activiti-api-basic-task-example; activiti-api-spring-integration-example; activiti-api-web-example; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables; activiti-api-basic-connector-examples; activiti-api-basic-full-example; activiti-api-basic-full-example-custombean; activiti-api-basic-process-examples; activiti-api-basic-task-examples; activiti-api-spring-integration-example; activiti-api-web-examples; activiti-bpmn-converter; activiti-engine; activiti-image-generator; activiti-spring; activiti-spring-boot-starter; activiti-spring-conformance-set0; activiti-spring-conformance-set1; activiti-spring-conformance-set2; activiti-spring-conformance-set3; activiti-spring-conformance-set4; activiti-spring-conformance-set5; activiti-spring-conformance-signals; activiti-spring-conformance-util; activiti-spring-conformance-variables,21,1.4.200,2021-12-10 20:15:07.917000+00:00,2022-01-04 20:53:00+00:00,25.026297256944446,post_resolution,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868,version_changed
