db,project_id,post_resolution_days
Cassandra,42,0.0
Cassandra,63,0.0
Cassandra,76,0.0
Couchbase,11,459.0
H2,1,2221.0
H2,10,1643.0
H2,11,963.0
H2,14,1145.0
H2,17,2300.0
H2,21,2215.0
H2,25,1574.0
H2,27,2461.0
H2,3,0.0
H2,31,1634.0
H2,32,2065.0
H2,38,2271.0
H2,39,0.0
H2,44,2156.0
H2,46,72.0
H2,47,1742.0
H2,48,1974.0
H2,49,1492.0
H2,50,2083.0
H2,51,2138.0
H2,52,2418.0
H2,53,503.0
H2,55,1612.0
H2,57,2381.0
H2,58,2365.0
H2,63,504.0
H2,66,1120.0
H2,68,2483.0
H2,69,680.0
H2,7,2384.0
H2,72,1013.0
H2,73,2027.0
H2,77,2429.0
H2,78,1326.0
H2,79,606.0
H2,8,748.0
H2,80,522.0
H2,9,1608.0
HBase,41,2.0
Hazelcast,11,121.0
Hazelcast,28,0.0
Hazelcast,37,0.0
Hazelcast,44,2284.0
Hazelcast,46,0.0
Hazelcast,55,0.0
Hazelcast,6,1556.0
Hazelcast,64,1681.0
Hazelcast,76,0.0
HyperSQL,19,377.0
HyperSQL,21,0.0
HyperSQL,22,74.0
HyperSQL,25,10.0
HyperSQL,27,0.0
HyperSQL,31,0.0
HyperSQL,32,0.0
HyperSQL,33,867.0
HyperSQL,38,29.0
HyperSQL,51,9.0
HyperSQL,54,0.0
HyperSQL,59,0.0
HyperSQL,6,95.0
HyperSQL,61,89.0
HyperSQL,64,0.0
HyperSQL,66,0.0
HyperSQL,67,0.0
HyperSQL,72,0.0
HyperSQL,76,0.0
Ignite,11,110.0
Ignite,31,0.0
MSSQL/MicrosoftAzure,27,40.0
MSSQL/MicrosoftAzure,31,0.0
MSSQL/MicrosoftAzure,32,2.0
MSSQL/MicrosoftAzure,51,0.0
MSSQL/MicrosoftAzure,53,0.0
MSSQL/MicrosoftAzure,79,0.0
MSSQL/MicrosoftAzure,8,24.0
MongoDB,32,200.0
MongoDB,38,244.0
MongoDB,56,0.0
MongoDB,69,309.0
MongoDB,72,96.0
MySQL,1,753.0
MySQL,10,1452.0
MySQL,11,9.0
MySQL,17,2683.0
MySQL,19,2572.0
MySQL,2,2167.0
MySQL,27,3800.0
MySQL,31,1154.0
MySQL,32,1152.0
MySQL,46,991.0
MySQL,49,1709.0
MySQL,50,3721.0
MySQL,51,1827.0
MySQL,53,1.0
MySQL,57,2364.0
MySQL,58,3146.0
MySQL,62,0.0
MySQL,63,218.0
MySQL,66,2506.0
MySQL,67,0.0
MySQL,69,1264.0
MySQL,7,1440.0
MySQL,70,2377.0
MySQL,72,303.0
MySQL,8,643.0
MySQL,80,1206.0
MySQL,82,1734.0
MySQL,83,3578.0
Neo4j,14,0.0
PostgreSQL,1,814.0
PostgreSQL,10,2171.0
PostgreSQL,11,465.0
PostgreSQL,17,1920.0
PostgreSQL,19,1877.0
PostgreSQL,2,0.0
PostgreSQL,21,2466.0
PostgreSQL,27,2632.0
PostgreSQL,31,1844.0
PostgreSQL,32,1510.0
PostgreSQL,43,2223.0
PostgreSQL,49,1433.0
PostgreSQL,50,1968.0
PostgreSQL,51,1989.0
PostgreSQL,53,0.0
PostgreSQL,57,2463.0
PostgreSQL,58,2544.0
PostgreSQL,63,435.0
PostgreSQL,66,1299.0
PostgreSQL,72,507.0
PostgreSQL,76,1896.0
PostgreSQL,79,266.0
PostgreSQL,8,0.0
Redis,10,0.0
Redis,11,632.0
Redis,17,0.0
Redis,27,0.0
Redis,46,0.0
Redis,50,904.0
Redis,63,79.0
Redis,68,945.0
Redis,71,525.0
Redis,72,135.0
Redis,76,315.0
Redis,83,815.0
SQLite,27,4.0
SQLite,31,4.0
SQLite,32,0.0
SQLite,51,4.0
SQLite,52,871.0
SQLite,53,440.0
SQLite,58,818.0
SQLite,60,955.0
SQLite,70,0.0
SQLite,72,48.0
Snowflake,11,175.0
Snowflake,31,219.0
Snowflake,51,993.0
