owner,name,repo_path,has_root_pom,root_pom_path,xml_decl_found,xml_has_bom,xml_has_bytes_before_decl,xml_preamble_preview,root_pom_has_file_tag,root_pom_file_tag_count,erro_no_caminho
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,True,/home/camila/repos/Activiti/Activiti/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
airbnb,lottie-android,/home/camila/repos/airbnb/lottie-android,False,,False,False,False,,False,0,False
alibaba,spring-cloud-alibaba,/home/camila/repos/alibaba/spring-cloud-alibaba,True,/home/camila/repos/alibaba/spring-cloud-alibaba/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",True,2,False
alibaba,nacos,/home/camila/repos/alibaba/nacos,True,/home/camila/repos/alibaba/nacos/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
alibaba,fastjson,/home/camila/repos/alibaba/fastjson,True,/home/camila/repos/alibaba/fastjson/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
aliyun,aliyun-openapi-java-sdk,/home/camila/repos/aliyun/aliyun-openapi-java-sdk,False,,False,False,False,,False,0,False
Alluxio,alluxio,/home/camila/repos/Alluxio/alluxio,True,/home/camila/repos/Alluxio/alluxio/pom.xml,False,False,False,b'<!--\n\n    The Alluxio Open Foundation li',False,0,False
AlmasB,FXGL,/home/camila/repos/AlmasB/FXGL,True,/home/camila/repos/AlmasB/FXGL/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
AntennaPod,AntennaPod,/home/camila/repos/AntennaPod/AntennaPod,False,,False,False,False,,False,0,False
antlr,antlr4,/home/camila/repos/antlr/antlr4,True,/home/camila/repos/antlr/antlr4/pom.xml,False,False,False,b'<!--\n  ~ Copyright (c) 2012-2017 The ANT',False,0,False
AnySoftKeyboard,AnySoftKeyboard,/home/camila/repos/AnySoftKeyboard/AnySoftKeyboard,False,,False,False,False,,False,0,False
apache,rocketmq,/home/camila/repos/apache/rocketmq,True,/home/camila/repos/apache/rocketmq/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,hudi,/home/camila/repos/apache/hudi,True,/home/camila/repos/apache/hudi/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",True,1,False
apache,iceberg,/home/camila/repos/apache/iceberg,False,,False,False,False,,False,0,False
apache,servicecomb-pack,/home/camila/repos/apache/servicecomb-pack,True,/home/camila/repos/apache/servicecomb-pack/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,shiro,/home/camila/repos/apache/shiro,True,/home/camila/repos/apache/shiro/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,opennlp,/home/camila/repos/apache/opennlp,True,/home/camila/repos/apache/opennlp/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",False,0,False
apache,zookeeper,/home/camila/repos/apache/zookeeper,False,,False,False,False,,False,0,False
apache,avro,/home/camila/repos/apache/avro,False,,False,False,False,,False,0,False
apache,shardingsphere-elasticjob,/home/camila/repos/apache/shardingsphere-elasticjob,True,/home/camila/repos/apache/shardingsphere-elasticjob/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,2,False
apache,bookkeeper,/home/camila/repos/apache/bookkeeper,False,,False,False,False,,False,0,False
apache,curator,/home/camila/repos/apache/curator,True,/home/camila/repos/apache/curator/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,1,False
apache,netbeans,/home/camila/repos/apache/netbeans,False,,False,False,False,,False,0,False
apache,nutch,/home/camila/repos/apache/nutch,False,,False,False,False,,False,0,False
apache,servicecomb-java-chassis,/home/camila/repos/apache/servicecomb-java-chassis,True,/home/camila/repos/apache/servicecomb-java-chassis/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
apache,httpcomponents-client,/home/camila/repos/apache/httpcomponents-client,True,/home/camila/repos/apache/httpcomponents-client/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,2,False
apache,calcite,/home/camila/repos/apache/calcite,False,,False,False,False,,False,0,False
